ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
8413887280472;PPE-8413887280472;100;83.32;PLN;25;2;3;8
8436603199971;PPE-8436603199971;100;1087.28;PLN;2;2;3;8
4899888815471;PPE-4899888815471;100;304.55;PLN;50;2;3;8
8445402691883;PPE-8445402691883;100;1164.8;PLN;5;2;3;8
8413887243026;PPE-8413887243026;100;89.77;PLN;10;2;3;8
5715571507036;PPE-5715571507036;100;323.3;PLN;10;2;3;8
3523930110863;PPE-3523930110863;100;315.0;PLN;5;2;3;8
8711252272603;PPE-8711252272603;100;198.49;PLN;5;2;3;8
4053423257274;PPE-4053423257274;100;555.36;PLN;25;2;3;8
8436606906590;PPE-8436606906590;100;87.54;PLN;25;2;3;8
4899888814078;PPE-4899888814078;100;138.9;PLN;50;2;3;8
8033280490065;PPE-8033280490065;100;422.91;PLN;2;2;3;8
8445402691890;PPE-8445402691890;100;1126.34;PLN;10;2;3;8
8413887342347;PPE-8413887342347;100;68.57;PLN;16;2;3;8
8412842543065;PPE-8412842543065;100;329.9;PLN;50;2;3;8
8436603199926;PPE-8436603199926;100;1059.86;PLN;9;2;3;8
4004625550571;PPE-4004625550571;100;310.85;PLN;2;2;3;8
8033280490225;PPE-8033280490225;100;422.91;PLN;2;2;3;8
4899888812050;PPE-4899888812050;100;366.44;PLN;10;2;3;8
5715571035805;PPE-5715571035805;100;217.47;PLN;9;2;3;8
8436603199940;PPE-8436603199940;100;1087.28;PLN;5;2;3;8
4899888792765;PPE-4899888792765;100;516.74;PLN;50;2;3;8
8445402131945;PPE-8445402131945;100;83.61;PLN;9;2;3;8
8008004005870;PPE-8008004005870;100;185.3;PLN;50;2;3;8
8445402691937;PPE-8445402691937;100;1087.28;PLN;5;2;3;8
8445402691982;PPE-8445402691982;100;993.23;PLN;10;2;3;8
8719407081131;PPE-8719407081131;100;190.71;PLN;50;2;3;8
8001011282999;PPE-8001011282999;100;195.83;PLN;8;2;3;8
8412688608133;PPE-8412688608133;100;168.92;PLN;50;2;3;8
8421078039099;PPE-8421078039099;100;88.28;PLN;9;2;3;8
8002908468199;PPE-8002908468199;100;84.5;PLN;2;2;3;8
