id_offer,ean,locale,category,title,short_description,description,manufacturer,picture_1,picture_2,picture_3,picture_4,price_cs,quantity,condition,length,width,height,weight,content_volume,currency,handling_time,delivery_time_max,delivery_time_min
S0383228,0716736784878,de-DE,Moda e accessori,Damensonnenbrille Marc Jacobs MJ-1080-S-LKS ø 56 mm,"Wenn Sie gern die neusten Produkte aus <b>Fashion & Accessoires</b> tragen möchten, dann sind Accessoires, wie die <b>Damensonnenbrille Marc Jacobs MJ","Wenn Sie gern die neusten Produkte aus <b>Fashion & Accessoires</b> tragen möchten, dann sind Accessoires, wie die <b>Damensonnenbrille Marc Jacobs MJ-1080-S-LKS ø 56 mm</b> ein Muss, um Ihren Look abzurunden! Vertrauen Sie auf die Marken für <b>Sonnenbrillen</b>.<br><br><ul><li>Art: Damensonnenbrille</li><li>Geschlecht: Damen</li><li>Schutz: 100% Schutz vor UV (UV400)</li><li>Material der Linsen: Polycarbonat</li><li>Farbe: Gold</li><li>Material: Metall</li><li>Objektiv Typ: Abgewertet</li><li>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0716736784878_S0383228_P00.jpg,https://cdnbigbuy.com/images/0716736784878_S0383228_P10.jpg,,,106.98,9,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S7236625,0889214127587,de-DE,Moda e accessori,Brillenfassung Gant GA3196 54008,"Wenn Sie Ihren Kleiderschrank erneuern möchten, empfehlen wir Ihnen <b>Brillenfassung Gant GA3196 54008</b> und weitere <b> Produkte von Gant</b>! Jet","Wenn Sie Ihren Kleiderschrank erneuern möchten, empfehlen wir Ihnen <b>Brillenfassung Gant GA3196 54008</b> und weitere <b> Produkte von Gant</b>! Jetzt für Sie die beste Qualität zum besten Preis!<br><br><ul><li>Merkmale: Gläser ohne Sehstärke</li><li>Geschlecht: Herren</li><li>Art: Brillenfassung</li><li>Objektiv Typ: Brillen ohne Rezept</li><li>Enthalten: Enthält Markenetui oder -hülle</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0889214127587_S7236625_P01.jpg,https://cdnbigbuy.com/images/0889214127587_S7236625_P21.jpg,https://cdnbigbuy.com/images/0889214127587_S7236625_P31.jpg,https://cdnbigbuy.com/images/0889214127587_S7236625_P11.jpg,74.68,25,NEW,10.3,9.9,9.8,0.3,999.31,EUR,2,8,3
S7189265,5900211770479,de-DE,Casa e arredamento,Beistellmöbel Chene Sonoma 60 cm,"Wenn du mit dem Gedanken spielst, deine Küche zu renovieren, kaufe <b>Beistellmöbel Chene Sonoma 60 cm</b> und andere <b>Produkte </b>! Die beste Qual","Wenn du mit dem Gedanken spielst, deine Küche zu renovieren, kaufe <b>Beistellmöbel Chene Sonoma 60 cm</b> und andere <b>Produkte </b>! Die beste Qualität zum günstigsten Preis liegt sofort in deiner Reichweite.<br><br><ul><li>Art: <ul><li>Möbel</li><li>Beistellmöbel</li></ul></li><li>Breite: 60 cm</li><li>Türen: 2 Türen</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/5900211770479_S7189265_P00.jpg,https://cdnbigbuy.com/images/5900211770479_S7189265_P20.jpg,https://cdnbigbuy.com/images/5900211770479_S7189265_P10.jpg,,210.6,25,NEW,92.0,63.0,12.0,25.86,69552.0,EUR,2,8,3
S0357220,8059173747580,de-DE,Moda e accessori,Herrenuhr IAM-KIT208 (Ø 44 mm),"Wenn Sie mit den neuesten Mode und Accessoire-Trends schritthalten wollen, kaufen Sie <b>Herrenuhr IAM-KIT208 (Ø 44 mm)</b> zum besten Preis.<br><br><","Wenn Sie mit den neuesten Mode und Accessoire-Trends schritthalten wollen, kaufen Sie <b>Herrenuhr IAM-KIT208 (Ø 44 mm)</b> zum besten Preis.<br><br><ul><li>Geschlecht: Herren</li><li>Extra Links: Kein</li><li>Typ der Uhr: Armbanduhr</li><li>Material des Armbands: Silikon</li><li>Uhrengehäuse-Material: Kunststoff</li><li>Uhrwerk: Quarz</li><li>Kristall: Kunststoff</li><li>Wasserdicht: 5 atm</li><li>Enthalten: Inklusive Markenetui</li><li>Verschluss Armband: Schließe</li><li>Farbe der Krone: Schw",Pop Pulse Emporium,https://cdnbigbuy.com/images/8059173747580_S0357220_P01.jpg,https://cdnbigbuy.com/images/53595_mandatory-watch1.jpg,,,28.2,10,NEW,32.0,19.0,10.0,0.4,6080.0,EUR,2,8,3
M1204028,8435130706461,de-DE,Giardinaggio e fai da te,Trägerplatte für Schleifscheiben Standard Abrasives 51 mm M14,"Wenn Sie bei der Einrichtung ihres Heims Wert auf Details legen und bei Produkten, die Ihnen das Leben leichter machen, auf dem letzten Stand sein möc","Wenn Sie bei der Einrichtung ihres Heims Wert auf Details legen und bei Produkten, die Ihnen das Leben leichter machen, auf dem letzten Stand sein möchten, dann kaufen Sie <b>Trägerplatte für Schleifscheiben Standard Abrasives 51 mm M14</b> zum besten Preis.<br><br><ul><li>Art: Trägerplatte für Schleifscheiben</li><li>Schraube: M14</li><li>Geschwindigkeit: 25000 rpm</li><li>Härte: Medien</li><li>Durchmesser: 51 mm</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8435130706461_M1204028_P00.jpg,https://cdnbigbuy.com/images/8435130706461_M1204028_P10.jpg,,,48.94,5,NEW,6.0,6.0,6.0,0.3,216.0,EUR,2,8,3
S0372757,0716736311432,de-DE,Moda e accessori,Damensonnenbrille Love Moschino MOL032S807IR Ø 55 mm,"Wenn Sie gern die neusten Produkte aus <b>Fashion & Accessoires</b> tragen möchten, dann sind Accessoires, wie die <b>Damensonnenbrille Love Moschino ","Wenn Sie gern die neusten Produkte aus <b>Fashion & Accessoires</b> tragen möchten, dann sind Accessoires, wie die <b>Damensonnenbrille Love Moschino MOL032S807IR Ø 55 mm</b> ein Muss, um Ihren Look abzurunden! Vertrauen Sie auf die Marken für <b>Sonnenbrillen</b>.<br><br><p>Die <b>Damen-Sonnenbrille</b> von <b>Love Moschino</b> vereint ein anspruchsvolles Design mit hochwertigen Materialien und ist somit ein stilvolles und funktionales Accessoire für den Alltag. Gefertigt aus <b>Acetat</b> biet",Pop Pulse Emporium,https://cdnbigbuy.com/images/S0372757_P00.jpg,https://cdnbigbuy.com/images/S0372757_P10.jpg,https://cdnbigbuy.com/images/S0372757_P20.jpg,,80.48,2,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S71017484,3426470282840,de-DE,Casa e arredamento,Kuchenspringform Pyrex Braun Edelstahl,"Wenn Sie bei der Einrichtung ihres Heims Wert auf Details legen und bei Produkten, die Ihnen das Leben leichter machen, auf dem letzten Stand sein möc","Wenn Sie bei der Einrichtung ihres Heims Wert auf Details legen und bei Produkten, die Ihnen das Leben leichter machen, auf dem letzten Stand sein möchten, dann kaufen Sie <b>Kuchenspringform Pyrex Braun Edelstahl</b> zum besten Preis.<br><br><ul><li>Geeignet für: <ul><li>Herd</li><li>Geschirrspüler</li><li>Kühlschrank</li></ul></li><li>Art: Kuchenspringform</li><li>Material: <ul><li>Metall</li><li>Edelstahl</li></ul></li><li>Waschanleitung: Spülmaschinen</li><li>Merkmale: Leicht zu reinigen</li",Pop Pulse Emporium,https://cdnbigbuy.com/images/3426470282840_00_P00.jpg,https://cdnbigbuy.com/images/3426470282840_P00.jpg,https://cdnbigbuy.com/images/3426470282840_R50.jpg,https://cdnbigbuy.com/images/3426470282840_R40.jpg,52.96,2,NEW,25.1,23.8,12.0,0.45,7168.56,EUR,2,8,3
S0391744,0886895608992,de-DE,Moda e accessori,Brillenfassung Victoria Beckham VB26575515238 Ø 55 mm,"Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Brillenfassung Victoria Beckham VB26575515238 Ø 55 mm</b","Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Brillenfassung Victoria Beckham VB26575515238 Ø 55 mm</b>!<br><br><p>Die <b>Damen-Brillenfassung</b> <b>VB2657-5515238</b> von Victoria Beckham steht für eine anspruchsvolle Wahl in der Damenoptik und vereint modernes Design mit hochwertigen Materialien. Gefertigt aus <b>Acetat</b>, das für seine Widerstandsfähigkeit, Leichtigkeit und angenehme Haptik bekannt ist, präsentiert sich diese braune Fassung v",Pop Pulse Emporium,https://cdnbigbuy.com/images/0886895608992_S0391744_P00.jpg,https://cdnbigbuy.com/images/0886895608992_S0391744_P10.jpg,https://cdnbigbuy.com/images/0886895608992_S0391744_P20.jpg,,73.18,5,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S0357906,0762753605337,de-DE,Moda e accessori,Kindersonnenbrille Carrera 20-WIR46KU,"Wenn Sie gern die neusten Produkte aus <b>Fashion & Accessoires</b> tragen möchten, dann sind Accessoires, wie die <b>Kindersonnenbrille Carrera 20-WI","Wenn Sie gern die neusten Produkte aus <b>Fashion & Accessoires</b> tragen möchten, dann sind Accessoires, wie die <b>Kindersonnenbrille Carrera 20-WIR46KU</b> ein Muss, um Ihren Look abzurunden! Vertrauen Sie auf die Marken für <b>Sonnenbrillen</b>.<br><br><ul><li>Filter: 100% Schutz vor UV (UV400)</li><li>Enthalten: Inklusive Markenetui</li><li>Art: <ul><li>Sonnenbrille</li><li>Kindersonnenbrille</li></ul></li><li>Geschlecht: <ul><li>Unisex</li><li>Für Kinder</li></ul></li><li>Schutz: 100% Sch",Pop Pulse Emporium,https://cdnbigbuy.com/images/0762753605337_S0357906_P0-v_11.jpg,,,,65.86,1,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S0391174,7624926687720,de-DE,Moda e accessori,Herrenring Guess JUMR03222JWYG (24),"Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Herrenring Guess JUMR03222JWYG (24)</b>!<br><br><ul><li>","Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Herrenring Guess JUMR03222JWYG (24)</b>!<br><br><ul><li>Art: Ring</li><li>Geschlecht: Herren</li><li>Farbe: Gold</li><li>Material: Edelstahl</li><li>Größe: 24</li><li>Enthalten: Enthält Markenetui oder -hülle</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/7624926687720_S0391174_P00.jpg,https://cdnbigbuy.com/images/87535_mandatory-ring0.jpg,,,33.34,25,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
