id_offer,ean,locale,category,title,short_description,description,manufacturer,picture_1,picture_2,picture_3,picture_4,price_cs,quantity,condition,length,width,height,weight,content_volume,currency,handling_time,delivery_time_max,delivery_time_min
S0389667,4051245430004,fr-FR,Moda e accessori,Montre Unisexe Thomas Sabo WA03412652024 (Ø 40 mm),"Si vous êtes à la recherche de nouvelles tendances sur le marché, nous vous présentons <b>Montre Unisexe Thomas Sabo WA03412652024 (Ø 40 mm)</b> !<br>","Si vous êtes à la recherche de nouvelles tendances sur le marché, nous vous présentons <b>Montre Unisexe Thomas Sabo WA03412652024 (Ø 40 mm)</b> !<br><br><ul><li>Liens supplémentaires: Non</li><li>Genre: Unisexe</li><li>Type de montre: Montre-bracelet</li><li>Matériau du bracelet: Acier inoxydable</li><li>Matériau du boîtier de la montre: Acier inoxydable</li><li>Type de mouvement: Quartz</li><li>Verre: Minéral</li><li>Imperméabilité: 5 atm</li><li>Inclut: Inclut un étui ou une housse de la marq",Pop Pulse Emporium,https://cdnbigbuy.com/images/4051245430004_S0389667_P00.jpg,https://cdnbigbuy.com/images/4051245430004_S0389667_P10.jpg,,,141.14,10,NEW,32.0,19.0,10.0,0.4,6080.0,EUR,2,8,3
S72129584,0886895526548,fr-FR,Moda e accessori,Monture de Lunettes Femme Longchamp,"Si vous envisagez de renouveler votre garde-robe, achetez <b>Monture de Lunettes Femme Longchamp</b> et d’autres<b>produits Longchamp</b>! La meilleur","Si vous envisagez de renouveler votre garde-robe, achetez <b>Monture de Lunettes Femme Longchamp</b> et d’autres<b>produits Longchamp</b>! La meilleure qualité au meilleur prix est à votre portée!<br><br><ul><li>Caractéristiques: Verres sans graduation</li><li>Type: Monture de Lunettes</li><li>Type de verre: Lentilles sans ordonnance</li><li>Genre: Femme</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0886895526548_S72129584_P00.jpg,https://cdnbigbuy.com/images/0886895526548_S72129584_P20.jpg,https://cdnbigbuy.com/images/0886895526548_R00.jpg,https://cdnbigbuy.com/images/0886895526548_R10.jpg,106.67,10,NEW,8.3,9.9,12.1,0.24,994.26,EUR,2,8,3
S72129220,0889214313058,fr-FR,Moda e accessori,Monture de Lunettes Homme Timberland TB1745 52002,"Si vous envisagez de renouveler votre garde-robe, achetez <b>Monture de Lunettes Homme Timberland TB1745 52002</b> et d’autres<b>produits Timberland</","Si vous envisagez de renouveler votre garde-robe, achetez <b>Monture de Lunettes Homme Timberland TB1745 52002</b> et d’autres<b>produits Timberland</b>! La meilleure qualité au meilleur prix est à votre portée!<br><br><ul><li>Caractéristiques: Verres sans graduation</li><li>Type: Monture de Lunettes</li><li>Type de verre: Lentilles sans ordonnance</li><li>Genre: Homme</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0889214313058_S72129220_P00.jpg,https://cdnbigbuy.com/images/0889214313058_R00.jpg,https://cdnbigbuy.com/images/0889214313058_S72129220_P20.jpg,https://cdnbigbuy.com/images/0889214313058_S72129220_P10.jpg,76.1,25,NEW,10.0,10.0,10.0,0.29,1000.0,EUR,2,8,3
S0350901,8431777808964,fr-FR,Moda e accessori,Bracelet Femme Thomas Sabo KT14686917L16 19 cm Bleu,"Nous vons présentons <b>Bracelet Femme Thomas Sabo KT14686917L16 19 cm Bleu</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendent","Nous vons présentons <b>Bracelet Femme Thomas Sabo KT14686917L16 19 cm Bleu</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.<br><br><p>Le <b>bracelet femme</b> <b>KT0146-869-17-L16</b> de <b>Thomas Sabo</b> se distingue par son design contemporain et la qualité de ses matériaux, en faisant une pièce sophistiquée et polyvalente pour le quotidien ou",Pop Pulse Emporium,https://cdnbigbuy.com/images/8431777808964_S0350901_P02.jpg,,,,114.55,1,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
M1205220,3660354059832,fr-FR,Giardinaggio e fai da te,Foret pour béton et granit Guillet Megadrill Ratio à vis,"Si vous aimez prendre soin de chaque détail de votre maison et d'être à la dernière mode en matière de produits qui vous rendront la vie plus facile, ","Si vous aimez prendre soin de chaque détail de votre maison et d'être à la dernière mode en matière de produits qui vous rendront la vie plus facile, achetez <b>Foret pour béton et granit Guillet Megadrill Ratio à vis</b> au meilleur prix.<br><br><ul><li>Type: <ul><li>à vis</li><li>Mèche</li></ul></li><li>Type d'ancrage: Ratio</li><li>Longueur: 300 mm</li><li>diamètre approx.: 28 mm</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/3660354059832_M1205220_P00.jpg,https://cdnbigbuy.com/images/3660354059832_M1205220_P20.jpg,https://cdnbigbuy.com/images/3660354059832_M1205220_P10.jpg,,129.51,1,NEW,3.5,3.5,36.0,0.78,441.0,EUR,2,8,3
S7213519,8426881393383,fr-FR,Moda e accessori,Boucles d´oreilles Femme Majorica 00326.01.2.000.701.1,"Nous vons présentons <b>Boucles d´oreilles Femme Majorica 00326.01.2.000.701.1</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pend","Nous vons présentons <b>Boucles d´oreilles Femme Majorica 00326.01.2.000.701.1</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.<br><br><ul><li>Genre: Femme</li><li>Type: Boucles d´oreilles Femme</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8426881393383_S7213519_P01.jpg,,,,102.44,5,NEW,10.0,9.9,9.7,0.29,960.3,EUR,2,8,3
S0389603,4974374333179,fr-FR,Moda e accessori,Montre Homme Citizen CA4544-53L (Ø 43 mm),"Si vous êtes à la recherche de nouvelles tendances sur le marché, nous vous présentons <b>Montre Homme Citizen CA4544-53L (Ø 43 mm)</b> !<br><br><ul><","Si vous êtes à la recherche de nouvelles tendances sur le marché, nous vous présentons <b>Montre Homme Citizen CA4544-53L (Ø 43 mm)</b> !<br><br><ul><li>Genre: Homme</li><li>Liens supplémentaires: Non</li><li>Type de montre: Montre-bracelet</li><li>Matériau du bracelet: Acier inoxydable</li><li>Matériau du boîtier de la montre: Acier inoxydable</li><li>Type de mouvement: Solaire</li><li>Verre: Saphir</li><li>Imperméabilité: 10 atm</li><li>Inclut: Inclut un étui ou une housse de la marque</li><li",Pop Pulse Emporium,https://cdnbigbuy.com/images/4974374333179_S0389603_P00.jpg,https://cdnbigbuy.com/images/4974374333179_S0389603_P20.jpg,https://cdnbigbuy.com/images/85962_mandatory-watch0.jpg,https://cdnbigbuy.com/images/4974374333179_S0389603_P10.jpg,604.01,10,NEW,32.0,19.0,10.0,0.4,6080.0,EUR,2,8,3
S72112332,8050506118053,fr-FR,Moda e accessori,Bracelet Homme Talent Jewels TJA-5-11-02-2-215 Noir,"Nous vons présentons <b>Bracelet Homme Talent Jewels TJA-5-11-02-2-215 Noir</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendent","Nous vons présentons <b>Bracelet Homme Talent Jewels TJA-5-11-02-2-215 Noir</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.<br><br><ul><li>Type: Bracelet</li><li>Genre: Homme</li><li>Couleur: Noir</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8050506118053_S72112332_P00.jpg,,,,126.85,5,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S71014300,3174269033875,fr-FR,Giardinaggio e fai da te,Peinture d'Apprêt Ripolin Bleu Satiné 500 ml,"Si vous aimez prendre soin de chaque détail de votre maison et d'être à la dernière mode en matière de produits qui vous rendront la vie plus facile, ","Si vous aimez prendre soin de chaque détail de votre maison et d'être à la dernière mode en matière de produits qui vous rendront la vie plus facile, achetez <b>Peinture d'Apprêt Ripolin Bleu Satiné 500 ml</b> au meilleur prix.<br><br><ul><li>Couleur: Bleu</li><li>Caractéristiques: <ul><li>Universel</li><li>Extérieur</li><li>Apte pour toute superficie</li></ul></li><li>Finition: Satiné</li><li>Capacité: 500 ml</li><li>Utilisation recommandée: Intérieur/Extérieur</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/3174269033875_S71014300_P00.jpg,https://cdnbigbuy.com/images/3174269033875_S71014300_P10.jpg,,,59.71,1,NEW,29.0,32.0,16.0,5.0,14848.0,EUR,2,8,3
S7286168,8720246837704,fr-FR,Moda e accessori,Bague Femme New Bling 9NB-0533-54 14,"Nous vons présentons <b>Bague Femme New Bling 9NB-0533-54 14</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon ","Nous vons présentons <b>Bague Femme New Bling 9NB-0533-54 14</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.<br><br><ul><li>Taille: 14</li><li>Type: Bague</li><li>Genre: Femme</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8720246837704_S7286168_P01.jpg,https://cdnbigbuy.com/images/85225_mandatory-ring1.jpg,,,76.75,2,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
