sku,ean,sku_manufacturer,brand,mm_category,title,description,image_1,image_2,image_3,image_4,image_5,product_price_vat_inc,min_quantity,increment,quantity,use_grid,carrier_grid_1,shipping_time_carrier_grid_1,width,width_unit,height,height_unit,length,length_unit,weight,weight_unit,volume,DisplayWeight,parent_sku,parent_title
S1907051,8437024504481,S1907051,Autres,20763,Spina di Alimentazione ULARTEC,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Spina di Alimentazione ULARTEC</b>!<br><br><ul><li>Tipo: Spina di Alimentazione</li><li>Potenza: 7400 W</li></ul>",https://cdnbigbuy.com/images/8437024504481_S1907051_P00.jpg,https://cdnbigbuy.com/images/8437024504481_S1907051_P10.jpg,https://cdnbigbuy.com/images/8437024504481_S1907051_P20.jpg,,,904.21,1,1,8,1,Generale,5#7,26.0,cm,22.0,cm,40.0,cm,5.0,kg,22880.0,5.0,S1907051,Spina di Alimentazione ULARTEC
S55287931,6935364072339,S55287931,Autres,20763,Videoregistratore in Rete TP-Link VIGI NVR1008H,"Se sei un appassionato d'<b>informatica ed elettronica</b>, ti piace stare al passo con la più recente tecnologia senza lasciarti sfuggire nessun dettaglio, acquista <b>Videoregistratore in Rete TP-Link VIGI NVR1008H</b> al miglior prezzo.<br><br><p>Il <b>VIGI NVR1008H</b> di TP-Link è un <b>sistema di archiviazione di rete</b> progettato per offrire una gestione efficiente e sicura dei video in ambienti di videosorveglianza professionale. Questo modello supporta fino a <b>8 canali di ingresso video</b> e consente la riproduzione simultanea su <b>4 canali</b>, facilitando il monitoraggio in tempo reale e la revisione delle registrazioni. Dispone di un’interfaccia per disco rigido <b>SATA</b>, che permette il collegamento diretto di hard disk per l’archiviazione locale di immagini e video, garantendo l’affidabilità del sistema contro la perdita di dati. La compatibilità con una <b>risoluzione massima di 1920 x 1080 pixel</b> assicura immagini nitide e dettagliate, ideali per un’identificazione precisa in ambito sicurezza. Il <b>videoregistratore di rete</b> è dotato di connettività <b>HDMI</b> e <b>USB 2.0</b>, semplificando sia la visualizzazione locale su monitor ad alta risoluzione sia il trasferimento o la copia dei dati tramite dispositivi esterni. Con un design compatto di <b>1U di altezza rack</b> e dimensioni di 246,2 × 148,2 × 42,6 mm, il dispositivo si adatta a spazi ridotti e facilita l’installazione in armadi rack standard. Il <b>colore nero</b> e la finitura discreta consentono l’integrazione in qualsiasi ambiente professionale senza risultare invasivo. L’alimentatore offre una potenza di <b>18 W</b> e uscita a <b>12 V</b>, garantendo efficienza energetica e compatibilità con impianti elettrici comuni. Queste caratteristiche rendono il VIGI NVR1008H una soluzione pratica e affidabile per aziende, negozi o strutture che necessitano di una gestione centralizzata e semplice dei sistemi di videosorveglianza IP. In sintesi, questo modello TP-Link offre versatilità e stabilità come soluzione di videoregistrazione di rete per ambienti di sicurezza.</p><br><br><ul><li>Colore: Nero</li><li>Connessioni: <ul><li>USB 2.0 x 2</li><li>RCA</li><li>RJ45</li><li>HDMI</li><li>USB 2.0</li><li>USB</li></ul></li><li>Risoluzione (px): 1920 x 1080 px</li><li>Velocità: 80 MB/s</li><li>USB 2.0: 2</li><li>Potenza: 18 W</li><li>Tipo di entrata: CC</li><li>Canali: <ul><li>8</li><li>8 Canali</li></ul></li><li>Tensione di uscita: 12 V</li><li>Tipo di presa: Spina EU</li><li>Prodotto plug-in: Sì</li><li>Tipo: <ul><li>Videoregistratore in Rete</li><li>Videocamera</li><li>SATA</li></ul></li><li>Voltaggio: 12 V</li><li>Montaggio a rack: 1U</li><li>Fonte di Alimentazione: CC</li><li>Anno: 2021</li></ul>",https://cdnbigbuy.com/images/6935364072339_S0243766_P01.jpg,https://cdnbigbuy.com/images/6935364072339_S55287931_P01.jpg,https://cdnbigbuy.com/images/6935364072339_R21.jpg,https://cdnbigbuy.com/images/6935364072339_I21.jpg,https://cdnbigbuy.com/images/6935364072339_S9107273_P11.jpg,113.81,1,1,1,1,Generale,5#7,26.8,cm,21.3,cm,28.7,cm,6.49,kg,16383.11,6.49,S55287931,Videoregistratore in Rete TP-Link VIGI NVR1008H
S71014432,4004282496724,S71014432,Autres,20763,Interruttore GAO,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Interruttore GAO</b> al miglior prezzo.<br><br><ul><li>Colore: Grigio</li><li>Classificazione IP: IP54</li><li>Tipo: Interruttore</li><li>Prodotto plug-in: Sì</li></ul>",https://cdnbigbuy.com/images/4004282496724_S71014432_P00.jpg,,,,,25.99,1,1,10,1,Generale,5#7,7.0,cm,6.0,cm,9.0,cm,0.12,kg,378.0,0.12,S71014432,Interruttore GAO
S71014430,4004282496700,S71014430,Autres,20763,Interruttore GAO - Aqua Top 8 x 6 x 9 cm,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Interruttore GAO - Aqua Top 8 x 6 x 9 cm</b> al miglior prezzo.<br><br><ul><li>Classificazione IP: IP54</li><li>Colore: Grigio</li><li>Tipo: Interruttore</li><li>Prodotto plug-in: Sì</li><li>Dimensioni appross.: 8 x 6 x 9 cm</li></ul>",https://cdnbigbuy.com/images/4004282496700_S71014430_P00.jpg,https://cdnbigbuy.com/images/4004282496700_S71014430_P10.jpg,https://cdnbigbuy.com/images/4004282496700_S71014430_P20.jpg,https://cdnbigbuy.com/images/4004282496700_S71014430_P30.jpg,,25.96,1,1,25,1,Generale,5#7,8.0,cm,6.0,cm,9.0,cm,0.1,kg,432.0,0.1,S71014430,Interruttore GAO - Aqua Top 8 x 6 x 9 cm
S7198695,4895251606547,S7198695,Autres,20763,Cavo di connessione Ecoflow OB03578,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Cavo di connessione Ecoflow OB03578</b> al miglior prezzo.<br><br><ul><li>Lunghezza del cavo: 0,5 m</li><li>Colore: Nero</li><li>Materiale: Plastica</li><li>Lingua: Inglese</li><li>Voltaggio: 12 V</li><li>Risoluzione: LCD</li><li>Peso: 200 g</li><li>Tecnologia: LCD</li><li>Compatibile: Stazione elettrica portatile EcoFlow</li></ul>",https://cdnbigbuy.com/images/4895251606547_M1300615_P00.jpg,https://cdnbigbuy.com/images/4895251606547R00.jpg,https://cdnbigbuy.com/images/4895251606547_R10.jpg,https://cdnbigbuy.com/images/4895251606547_S7198695_P00.jpg,https://cdnbigbuy.com/images/4895251606547_R00.jpg,62.89,1,1,8,1,Generale,5#7,17.0,cm,5.0,cm,13.0,cm,0.2,kg,1105.0,0.2,S7198695,Cavo di connessione Ecoflow OB03578
S7198694,4895251606516,S7198694,Autres,20763,Cavo di connessione Ecoflow OB03579,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Cavo di connessione Ecoflow OB03579</b> al miglior prezzo.<br><br><p>Il <b>OB03579</b> di <b>Ecoflow</b> è un <b>cavo di collegamento</b> progettato specificamente per offrire una soluzione efficiente e sicura nell’interconnettere dispositivi come micro inverter con stazioni di energia portatili, evidenziando la sua compatibilità con la <b>Delta Pro</b> e altri prodotti del marchio. Questo modello integra un sistema di <b>adattatore di corrente</b> che facilita l’integrazione in installazioni domestiche e professionali in Spagna, utilizzando una <b>presa standard europea (EU)</b> di tipo maschio/femmina, garantendo così una connessione affidabile ed evitando problemi di compatibilità nelle infrastrutture elettriche convenzionali. Il cavo, di <b>colore nero</b>, ha una lunghezza compatta di 0,5 metri, ideale per collegamenti ravvicinati che richiedono minima perdita di energia e una disposizione ordinata in spazi ridotti, evitando grovigli e facilitando l’organizzazione dell’area di lavoro. La sua costruzione robusta e i materiali di alta qualità assicurano durata e sicurezza durante l’uso prolungato, mentre l’orientamento del design e le istruzioni in inglese lo rendono accessibile a utenti internazionali e tecnici specializzati. L’Ecoflow OB03579 è una scelta adatta per chi cerca un’interconnessione affidabile e diretta tra inverter e stazioni di energia Ecoflow, soddisfacendo le esigenze di installazioni efficienti e sicure sia in ambienti residenziali che professionali.</p><br><br><ul><li>Tipo: <ul><li>Adattatore di Corrente</li><li>Maschio/Femmina</li></ul></li><li>Prodotto plug-in: Sì</li><li>Lunghezza del cavo: 0,5 m</li><li>Tipo di presa: Spina EU</li><li>Colore: Nero</li><li>Lingua: Inglese</li><li>Compatibile: Stazione elettrica portatile EcoFlow</li></ul>",https://cdnbigbuy.com/images/4895251606516I00.jpg,https://cdnbigbuy.com/images/4895251606516_M1300616_P00.jpg,https://cdnbigbuy.com/images/4895251606516I10.jpg,https://cdnbigbuy.com/images/4895251606516R00.jpg,https://cdnbigbuy.com/images/4895251606516_R00.jpg,89.53,1,1,1,1,Generale,5#7,12.0,cm,6.0,cm,17.0,cm,0.36,kg,1224.0,0.36,S7198694,Cavo di connessione Ecoflow OB03579
S71022785,5035048810071,S71022785,Autres,20763,Levigatrice a nastro Stanley SFMCE210D2K-QW,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Levigatrice a nastro Stanley SFMCE210D2K-QW</b> al miglior prezzo.<br><br><ul><li>Fonte di Alimentazione: Batteria</li></ul>",https://cdnbigbuy.com/images/5035048810071_S71022785_P00.jpg,https://cdnbigbuy.com/images/5035048810071_R60.jpg,https://cdnbigbuy.com/images/5035048810071_R20.jpg,https://cdnbigbuy.com/images/5035048810071_S71022785_P40.jpg,https://cdnbigbuy.com/images/5035048810071_R70.jpg,321.93,1,1,5,1,Generale,5#7,47.0,cm,17.0,cm,38.0,cm,5.04,kg,30362.0,5.04,S71022785,Levigatrice a nastro Stanley SFMCE210D2K-QW
S71024090,3165140846493,S71024090,Autres,20763,Lama sega BOSCH 30 Pezzi,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Lama sega BOSCH 30 Pezzi</b> al miglior prezzo.<br><br><ul><li>Colore: <ul><li>Nero</li><li>Grigio</li></ul></li><li>Numero di pezzi: 30 Pezzi</li></ul>",https://cdnbigbuy.com/images/3165140846493_S71024090_P00.jpg,https://cdnbigbuy.com/images/3165140846493_R60.jpg,https://cdnbigbuy.com/images/3165140846493_R20.jpg,https://cdnbigbuy.com/images/3165140846493_I10.jpg,https://cdnbigbuy.com/images/3165140846493_R30.jpg,67.63,1,1,1,1,Generale,5#7,18.0,cm,9.0,cm,40.0,cm,0.39,kg,6480.0,0.39,S71024090,Lama sega BOSCH 30 Pezzi
S71012022,3701085206185,S71012022,Autres,20763,Modulo ricevitore SCS SENTINEL WifiGate,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Modulo ricevitore SCS SENTINEL WifiGate</b> al miglior prezzo.<br><br><ul><li>Colore: Bianco</li></ul>",https://cdnbigbuy.com/images/3701085206185_S71012022_P01.jpg,https://cdnbigbuy.com/images/3701085206185R61.jpg,https://cdnbigbuy.com/images/3701085206185_R21.jpg,https://cdnbigbuy.com/images/3701085206185_S71012022_P41.jpg,https://cdnbigbuy.com/images/3701085206185_S71012022_P11.jpg,61.15,1,1,5,1,Generale,5#7,16.0,cm,5.0,cm,13.0,cm,0.32,kg,1040.0,0.32,S71012022,Modulo ricevitore SCS SENTINEL WifiGate
S71012021,3701085205843,S71012021,Autres,20763,Tastiera numerica SCS SENTINEL CodeGate,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Tastiera numerica SCS SENTINEL CodeGate</b> al miglior prezzo.<br><br><ul><li>Tipo: Tastiera numerica</li><li>Colore: <ul><li>Nero</li><li>Grigio</li></ul></li></ul>",https://cdnbigbuy.com/images/3701085205843_S71012021_P01.jpg,https://cdnbigbuy.com/images/3701085205843_S71012021_P51.jpg,https://cdnbigbuy.com/images/3701085205843_S71012021_P11.jpg,https://cdnbigbuy.com/images/3701085205843R01.jpg,https://cdnbigbuy.com/images/3701085205843_S71012021_P21.jpg,99.94,1,1,10,1,Generale,5#7,15.0,cm,5.0,cm,12.0,cm,0.26,kg,900.0,0.26,S71012021,Tastiera numerica SCS SENTINEL CodeGate
