id_offer,ean,locale,category,title,short_description,description,manufacturer,picture_1,picture_2,picture_3,picture_4,price_cs,quantity,condition,length,width,height,weight,content_volume,currency,handling_time,delivery_time_max,delivery_time_min
S55008564,0843173124711,cs-CZ,Gardening & DIY,Webkamera Elo Touch Systems E201494,"Pokud se zajímáte o <b>počítače a elektronika</b>, rádi máte doma moderní vybavení a hlídáte si každý detail, kupte si <b>Webkamera Elo Touch Systems ","Pokud se zajímáte o <b>počítače a elektronika</b>, rádi máte doma moderní vybavení a hlídáte si každý detail, kupte si <b>Webkamera Elo Touch Systems E201494</b> za nejlepší ceny.<br><br><ul><li>Typ: Webkamera</li><li>Barva: Černý</li><li>Vlastnosti: <ul><li>Integrovaný mikrofon</li><li>Automatické zaostření</li></ul></li><li>Fotoaparát: 8 MP</li><li>Rozhraní: USB</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/885240920.jpg,https://cdnbigbuy.com/images/885240940.jpg,https://cdnbigbuy.com/images/885240950.jpg,https://cdnbigbuy.com/images/885240960.jpg,4405.26,10,NEW,18.0,12.0,7.0,0.18,1512.0,CZK,2,5,3
S7271048,8430622817038,cs-CZ,Gardening & DIY,Pánské hodinky Festina F20669/2,"Pokud sledujete trendy v oblasti módy a doplňků, nakupujte <b>Pánské hodinky Festina F20669/2</b> za nejlepší ceny.<br><br><ul><li>Pohlaví: Pánský</li","Pokud sledujete trendy v oblasti módy a doplňků, nakupujte <b>Pánské hodinky Festina F20669/2</b> za nejlepší ceny.<br><br><ul><li>Pohlaví: Pánský</li><li>Další odkazy: Č.</li><li>Typ hodinek: Náramkové hodinky</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8430622817038_S7271048_P00.jpg,https://cdnbigbuy.com/images/70212_mandatory-watch0.jpg,,,3929.08,50,NEW,32.0,19.0,10.0,0.4,6080.0,CZK,2,5,3
S7920436,8425998083729,cs-CZ,Gardening & DIY,Šroubovací vrtačka Koma Tools Pro Series,"Pokud při zařizování vašeho domova kladete důraz na všelijaké detaily a chcete být průběžně informován o nejnovějších produktech, které vám usnadní ži","Pokud při zařizování vašeho domova kladete důraz na všelijaké detaily a chcete být průběžně informován o nejnovějších produktech, které vám usnadní život, nakupujte <b>Šroubovací vrtačka Koma Tools Pro Series</b> za tu nejlepší cenu.<br><br><ul><li>Barva: <ul><li>Modrý</li><li>Černý</li></ul></li><li>Obsahuje: <ul><li>Nabíječka na baterie</li><li>Baterie x 2</li><li>Aktovka</li><li>Háček na pásek</li><li>Nosič vrtáků</li></ul></li><li>Vlastnosti: <ul><li>Klip na pás</li><li>Regulovatelný výkon</",Pop Pulse Emporium,https://cdnbigbuy.com/images/S7920436_21094_1686313715_cropped2.jpg,https://cdnbigbuy.com/images/8425998083729_S7920436_P62.jpg,https://cdnbigbuy.com/images/8425998083729_S7920436_P02.jpg,https://cdnbigbuy.com/images/8425998083729_S7920436_P12.jpg,4196.67,50,NEW,25.0,25.0,15.0,3.0,9375.0,CZK,2,5,3
S7175765,3165140973366,cs-CZ,Gardening & DIY,elektrický zastřihovač BOSCH Easy GrassCut 18V-230 18 V Ø 23 cm,"Pokud při zařizování vašeho domova kladete důraz na všelijaké detaily a chcete být průběžně informován o nejnovějších produktech, které vám usnadní ži","Pokud při zařizování vašeho domova kladete důraz na všelijaké detaily a chcete být průběžně informován o nejnovějších produktech, které vám usnadní život, nakupujte <b>elektrický zastřihovač BOSCH Easy GrassCut 18V-230 18 V Ø 23 cm</b> za tu nejlepší cenu.<br><br><ul><li>Nápajecí Zdroj: Baterie</li><li>Typ baterie: Litio Ion</li><li>Obsahuje: <ul><li>Dobíjecí lithiová baterie</li><li>Nabíječka na baterie</li></ul></li><li>Zásuvný produkt: Ano</li><li>Typ zástrčky: Zástrčka EU</li><li>Napětí: 18 ",Pop Pulse Emporium,https://cdnbigbuy.com/images/3165140973366_S7175765_P01.jpg,https://cdnbigbuy.com/images/3165140973366_S7175765_P21.jpg,https://cdnbigbuy.com/images/3165140973366_S7175765_P41.jpg,https://cdnbigbuy.com/images/3165140973366_S7175765_P11.jpg,4213.41,25,NEW,47.0,22.0,14.0,3.3,14476.0,CZK,2,5,3
S7267464,0716736777818,cs-CZ,Gardening & DIY,Pánské sluneční brýle Carrera 1057_S,"Pokud rádi nosíte trendy <b>módní doplňky</b> a váš styl se bez nich neobejde, nenechte si ujít <b>Pánské sluneční brýle Carrera 1057_S</b>! Vyberte s","Pokud rádi nosíte trendy <b>módní doplňky</b> a váš styl se bez nich neobejde, nenechte si ujít <b>Pánské sluneční brýle Carrera 1057_S</b>! Vyberte si ty nejlepší značkové <b>sluneční brýle</b>.<br><br><ul><li>Typ: Pánské sluneční brýle</li><li>ochrana: 100% ochrana proti UV záření (UV400)</li><li>Pohlaví: Pánský</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0716736777818_R00.jpg,https://cdnbigbuy.com/images/0716736777818_R30.jpg,https://cdnbigbuy.com/images/0716736777818_R40.jpg,https://cdnbigbuy.com/images/0716736777818_R10.jpg,4719.67,2,NEW,10.22,9.75,10.06,0.28,1002.43,CZK,2,5,3
S0391216,0194900082171,cs-CZ,Gardening & DIY,Příruční taška Michael Kors Jet Set Travel,"Pokud hledáte nejnovější trendy na trhu, máme tu čest vám představit <b>Příruční taška Michael Kors Jet Set Travel</b>!<br><br><ul><li>Typ: Taška</li>","Pokud hledáte nejnovější trendy na trhu, máme tu čest vám představit <b>Příruční taška Michael Kors Jet Set Travel</b>!<br><br><ul><li>Typ: Taška</li><li>Pohlaví: Dáma</li><li>Barva: Modrý</li><li>Materiál: Plátno</li><li>Typ zapínání: zip</li><li>Obsahuje: Obsahuje pouzdro nebo kryt značky</li><li>Přibližné rozměry: 42 x 30 x 15 cm</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/S0391216_1749553045-remove-background0.jpg,https://cdnbigbuy.com/images/0194900082171_S0391216_P00.jpg,https://cdnbigbuy.com/images/0194900082171_S0391216_P10.jpg,https://cdnbigbuy.com/images/0194900082171_S0391216_P20.jpg,3824.4,10,NEW,10.0,10.0,10.0,0.3,1000.0,CZK,2,5,3
S7710269,0632983022054,cs-CZ,Gardening & DIY,Toner Kyocera 1T02LKBNL0 Černý Purpurová,Vracejte se do kanceláře bez zapomenutí jediné věci! Nakupujte <b>Toner Kyocera 1T02LKBNL0 Černý Purpurová</b> a nechte kolegy závidět!<br><br><ul><li,Vracejte se do kanceláře bez zapomenutí jediné věci! Nakupujte <b>Toner Kyocera 1T02LKBNL0 Černý Purpurová</b> a nechte kolegy závidět!<br><br><ul><li>Barva: <ul><li>Purpurová</li><li>Černý</li></ul></li><li>Technologie: Laser</li><li>Typ: Toner</li><li>velikost: A4</li><li>Vlastnosti: <ul><li>podle barvy</li><li>Originální</li></ul></li><li>Přesnost (relativní vlhkost): 20 % - 80 %</li><li>Funkční rozpětí teploty: 5º / 35º</li></ul>,Pop Pulse Emporium,https://cdnbigbuy.com/images/0632983022054_I01.jpg,,,,3529.4,1,NEW,60.0,13.5,11.5,1.15,9315.0,CZK,2,5,3
S71013884,0197641223889,cs-CZ,Gardening & DIY,Sportovní batoh The North Face Base Camp Duffel Černý 71 L,Vracejte se do kanceláře bez zapomenutí jediné věci! Nakupujte <b>Sportovní batoh The North Face Base Camp Duffel Černý 71 L</b> a nechte kolegy závid,"Vracejte se do kanceláře bez zapomenutí jediné věci! Nakupujte <b>Sportovní batoh The North Face Base Camp Duffel Černý 71 L</b> a nechte kolegy závidět!<br><br><p><b>Base Camp Duffel</b> od <b>The North Face</b> je sportovní batoh navržený pro ty, kteří potřebují odolný a prostorný zavazadlový prostor pro venkovní aktivity nebo sport. S objemem <b>71 litrů</b> nabízí dostatek místa pro přepravu oděvů i objemného vybavení, ideální pro delší cesty nebo sporty vyžadující hodně materiálu. Jeho unis",Pop Pulse Emporium,https://cdnbigbuy.com/images/0197641223889_S71013884_P00.jpg,https://cdnbigbuy.com/images/0197641223889_S71013884_P10.jpg,https://cdnbigbuy.com/images/0197641223889_S71013884_P20.jpg,https://cdnbigbuy.com/images/0197641223889_S71013884_P30.jpg,3966.76,23,NEW,20.63,35.0,34.78,0.95,25112.9,CZK,2,5,3
M0518771,4519232193603,cs-CZ,Gardening & DIY,Originální toner Toshiba e-STUDIO2510AC Purpurová,Vracejte se do kanceláře bez zapomenutí jediné věci! Nakupujte <b>Originální toner Toshiba e-STUDIO2510AC Purpurová</b> a nechte kolegy závidět!<br><b,Vracejte se do kanceláře bez zapomenutí jediné věci! Nakupujte <b>Originální toner Toshiba e-STUDIO2510AC Purpurová</b> a nechte kolegy závidět!<br><br><ul><li>Typ: Toner</li><li>Barva: Purpurová</li></ul>,Pop Pulse Emporium,https://cdnbigbuy.com/images/M0518771_1730721760-remove-background0.jpg,,,,4637.45,1,NEW,52.0,10.0,9.0,1.02,4680.0,CZK,2,5,3
S37114644,8027281123299,cs-CZ,Gardening & DIY,Kartingová kombinéza OMP KS-4 Černý S,Vybavte svůj vůz posledními produkty průmyslu! Kupte <b>Kartingová kombinéza OMP KS-4 Černý S</b> a už o nic nepřijdete!<br><br><ul><li>Barva: Černý</,Vybavte svůj vůz posledními produkty průmyslu! Kupte <b>Kartingová kombinéza OMP KS-4 Černý S</b> a už o nic nepřijdete!<br><br><ul><li>Barva: Černý</li><li>Materiál: <ul><li>Polyester</li><li>Bavlna</li></ul></li><li>Vlastnosti: <ul><li>Odolný</li><li>Prodyšný</li><li>Elastické</li></ul></li><li>Osvědčení: cik fia nº1</li><li>Velikost: S</li></ul>,Pop Pulse Emporium,https://cdnbigbuy.com/images/8027281123299_S37114644_P00.jpg,https://cdnbigbuy.com/images/8027281123299_S37114644_P10.jpg,,,4083.62,2,NEW,35.0,30.0,10.0,4.0,10500.0,CZK,2,5,3
