id_offer,ean,locale,category,title,short_description,description,manufacturer,picture_1,picture_2,picture_3,picture_4,price_cs,quantity,condition,length,width,height,weight,content_volume,currency,handling_time,delivery_time_max,delivery_time_min
S64193018,9359082893033,de-DE,Gardening & DIY,Sportrucksack Rip Curl 165MBA-0097 25 L,"Bleiben Sie in Form und entdecken Sie die neuesten Innovationen der Branche, um mit den besten Voraussetzungen Sport zu betreiben! Kaufen Sie <b>Sport","Bleiben Sie in Form und entdecken Sie die neuesten Innovationen der Branche, um mit den besten Voraussetzungen Sport zu betreiben! Kaufen Sie <b>Sportrucksack Rip Curl 165MBA-0097 25 L</b> zum besten Preis und genießen Sie ein gesundes Leben!<br><br><ul><li>Art: Sportrucksack</li><li>Sport: <ul><li>Berg</li><li>Brandung</li></ul></li><li>Kapazität: 25 L</li><li>Geschlecht: Herren</li><li>Empfohlenes Alter: Erwachsene</li><li>Größe: Einheitsgröße</li><li>Form: rechteckig</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/9359082893033_S64193018_P00.jpg,https://cdnbigbuy.com/images/9359082893033_S64193018_P20.jpg,https://cdnbigbuy.com/images/9359082893033_S64193018_P30.jpg,https://cdnbigbuy.com/images/9359082893033_S64193018_P40.jpg,56.97,1,NEW,20.6,35.0,34.8,0.95,25090.8,EUR,2,8,3
S0465100,8414234681508,de-DE,Gardening & DIY,Grill Tragbarer Taurus MAXIMS 41 x 24 cm,"Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Grill Tragbarer Taurus MAXIMS 41 x 24 cm</b>!<br><br><ul","Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Grill Tragbarer Taurus MAXIMS 41 x 24 cm</b>!<br><br><ul><li>Leistung: 2400 W</li><li>Maße ca.: 41 x 24 cm</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8414234681508_R00.jpg,https://cdnbigbuy.com/images/8414234681508_R10.jpg,,,54.72,9,NEW,37.7,51.5,42.3,3.6,82127.57,EUR,2,8,3
S7217398,8430622744631,de-DE,Gardening & DIY,Damenarmreif Lotus LS2088-2/3,"Wir präsentieren <b>Damenarmreif Lotus LS2088-2/3</b> und ein umfangreiches Sortiment von Ringen, Halsbändern, Armbändern, Ohrringen, usw. zu einem gr","Wir präsentieren <b>Damenarmreif Lotus LS2088-2/3</b> und ein umfangreiches Sortiment von Ringen, Halsbändern, Armbändern, Ohrringen, usw. zu einem großartigen Preis. Erfahren Sie mehr über unsere exklusiven und eleganten Schmuck und Modeschmuck für jeden Geschmack und Stil.<br><br><ul><li>Geschlecht: Damen</li><li>Art: Damenarmreif</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8430622744631_S7217398_P01.jpg,,,,68.33,50,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S3727074,8435682604956,de-DE,Gardening & DIY,Sicherheits-Schuhe OMP MECCANICA PRO SPORT Orange Größe 41 S1P,"Wenn Ihnen Ihre Gesundheit am Herzen liegt und Sie Produkte haben möchten, die <b> Schutz und Wellness</b> bieten, dann kaufen Sie <b> Sicherheits-Sch","Wenn Ihnen Ihre Gesundheit am Herzen liegt und Sie Produkte haben möchten, die <b> Schutz und Wellness</b> bieten, dann kaufen Sie <b> Sicherheits-Schuhe OMP MECCANICA PRO SPORT Orange Größe 41 S1P</b> und viele andere <b>Produkte von OMP</b> zu den besten Preisen!<br><br><ul><li>Farbe: <ul><li>Orange</li><li>Grau</li></ul></li><li>Material: Kevlar</li><li>Merkmale: S1P</li><li>Art: Sicherheits-Schuhe</li><li>Größe: <ul><li>Größe 41</li><li>41</li></ul></li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/S3727074_8435682604956_P02.jpg,https://cdnbigbuy.com/images/26791_mandatory-motor2.jpg,,,74.19,2,NEW,12.0,25.0,35.0,3.0,10500.0,EUR,2,8,3
S8901489,4899888615149,de-DE,Gardening & DIY,Elektrische Luftpumpe Intex Quick FIll 220-240 V (6 Stück),"Mit diesen Vorschlägen, die Jung und Alt begeistern werden, ist der Sommerspaß garantiert! Kaufen Sie <b>Elektrische Luftpumpe Intex Quick FIll 220-24","Mit diesen Vorschlägen, die Jung und Alt begeistern werden, ist der Sommerspaß garantiert! Kaufen Sie <b>Elektrische Luftpumpe Intex Quick FIll 220-240 V (6 Stück)</b>] und genießen Sie Ihre Freizeit!<br><br><ul><li>Wichtige informationen: Elektroprodukt für UK nicht geeignet</li><li>Farbe: Schwarz</li><li>Enthalten: <ul><li>Auswechselbare Düsen</li><li>Adapterkabel für das Auto (12V)</li><li>Netzadapter</li></ul></li><li>Steckertyp: EU-Stecker</li><li>Steckbares Produkt: Ja</li><li>Material: PV",Pop Pulse Emporium,https://cdnbigbuy.com/images/S8901489_P0_icon2.jpg,https://cdnbigbuy.com/images/S8901489_P12.jpg,https://cdnbigbuy.com/images/S8901489_P22.jpg,https://cdnbigbuy.com/images/S8901489_P32.jpg,115.77,25,NEW,15.0,42.5,27.5,3.18,17531.25,EUR,2,8,3
M0607111,4053032677029,de-DE,Gardening & DIY,Hundegeschirr Trixie Confort Premium grün M/L,"Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Hundegeschirr Trixie Confort Premium grün M/L</b>!<br><b","Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Hundegeschirr Trixie Confort Premium grün M/L</b>!<br><br><p>Das <b>Confort Premium</b> von Trixie ist ein <b>Hundegeschirr</b>, das für hohen Tragekomfort und optimale Passform entwickelt wurde. Dank seines <b>gepolsterten Plüschmaterials</b> bietet es Weichheit und Schutz beim Hautkontakt des Tieres. Die <b>grüne Farbe</b> verleiht ein elegantes und unauffälliges Aussehen, passend für mittelgroße bis ",Pop Pulse Emporium,https://cdnbigbuy.com/images/4053032677029_M0607111_P00.jpg,https://cdnbigbuy.com/images/4053032677029_M0607111_P10.jpg,,,19.31,2,NEW,27.0,38.0,6.0,0.24,6156.0,EUR,2,8,3
S72128818,7630775759778,de-DE,Gardening & DIY,Brillenfassung INVU B4231 51A,"Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Brillenfassung INVU B4231 51A</b>!<br><br><ul><li>Merkma","Wenn Sie auf der Suche nach trendigen Neuheiten auf dem Markt sind, präsentieren wir Ihnen <b>Brillenfassung INVU B4231 51A</b>!<br><br><ul><li>Merkmale: Gläser ohne Sehstärke</li><li>Art: Brillenfassung</li><li>Geschlecht: Damen</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/7630775759778_S72128818_P00.jpg,https://cdnbigbuy.com/images/7630775759778_S72128818_P10.jpg,https://cdnbigbuy.com/images/7630775759778_S72128818_P20.jpg,,62.22,19,NEW,8.3,9.9,12.1,0.24,994.26,EUR,2,8,3
S0371183,4895148611821,de-DE,Gardening & DIY,Armreif Police S14WA06B,"Wir präsentieren <b>Armreif Police S14WA06B</b> und ein umfangreiches Sortiment von Ringen, Halsbändern, Armbändern, Ohrringen, usw. zu einem großarti","Wir präsentieren <b>Armreif Police S14WA06B</b> und ein umfangreiches Sortiment von Ringen, Halsbändern, Armbändern, Ohrringen, usw. zu einem großartigen Preis. Erfahren Sie mehr über unsere exklusiven und eleganten Schmuck und Modeschmuck für jeden Geschmack und Stil.<br><ul><li>Material: Stahl</li><li>Verschluss Armband: Karabinerhaken</li><li>Enthalten: Inklusive Markenetui</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/4895148611821_S0371183_P00.jpg,,,,45.38,5,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S72124171,4217861092167,de-DE,Gardening & DIY,Damenohrringe Breil TJ3710 Sterlingsilber 925 Gold,"Wir präsentieren <b>Damenohrringe Breil TJ3710 Sterlingsilber 925 Gold</b> und ein umfangreiches Sortiment von Ringen, Halsbändern, Armbändern, Ohrrin","Wir präsentieren <b>Damenohrringe Breil TJ3710 Sterlingsilber 925 Gold</b> und ein umfangreiches Sortiment von Ringen, Halsbändern, Armbändern, Ohrringen, usw. zu einem großartigen Preis. Erfahren Sie mehr über unsere exklusiven und eleganten Schmuck und Modeschmuck für jeden Geschmack und Stil.<br><br><ul><li>Farbe: Gold</li><li>Geschlecht: Damen</li><li>Art: Ohrringe</li><li>Material: Sterlingsilber 925</li><li>Enthalten: Enthält Markenetui oder -hülle</li><li>Kristall: Mineral</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/4217861092167_S72124171_P00.jpg,https://cdnbigbuy.com/images/4217861092167_S72124171_P10.jpg,https://cdnbigbuy.com/images/4217861092167_S72124171_P20.jpg,https://cdnbigbuy.com/images/4217861092167_S72124171_P30.jpg,91.88,1,NEW,9.9,9.9,9.8,0.29,960.5,EUR,2,8,3
S3059029,8424002159337,de-DE,Gardening & DIY,Tischlampe Home ESPRIT Gold Harz 220 V 45 X 23 X 34 cm,"<p>Wenn Sie Ihrem Zuhause einen Hauch von Originalität verleihen möchten, tun Sie dies mit <b>Tischlampe Home ESPRIT Gold Harz 220 V 45 X 23 X 34 cm</","<p>Wenn Sie Ihrem Zuhause einen Hauch von Originalität verleihen möchten, tun Sie dies mit <b>Tischlampe Home ESPRIT Gold Harz 220 V 45 X 23 X 34 cm</b>.</p><br><br><ul><li>Steckbares Produkt: Ja</li><li>Art: <ul><li>Tischlampe</li><li>Glamour</li></ul></li><li>Steckertyp: EU-Stecker</li><li>Spannung: 220 V</li><li>Kappe: E14</li><li>Lang: 23 cm</li><li>Design: Hund</li><li>groß: 34 cm</li><li>Breite: 45 cm</li><li>Material: Harz</li><li>Farbe: Gold</li><li>Nicht erhalten: Glühbirne</li><li>Maße",Pop Pulse Emporium,https://cdnbigbuy.com/images/8424002159337_S3059029_P00.jpg,https://cdnbigbuy.com/images/8424002159337_S3059029_P20.jpg,https://cdnbigbuy.com/images/8424002159337_S3059029_P30.jpg,https://cdnbigbuy.com/images/8424002159337_S3059029_P40.jpg,140.12,23,NEW,53.0,42.0,31.0,6.5,69006.0,EUR,2,8,3
