id_offer,ean,locale,category,title,short_description,description,manufacturer,picture_1,picture_2,picture_3,picture_4,price_cs,quantity,condition,length,width,height,weight,content_volume,currency,handling_time,delivery_time_max,delivery_time_min
S71024319,5010996281173,it-IT,Neonati e bambini,Personaggio Hasbro,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Personaggio Hasbro</b>!<br><br><ul><li>Colore: Nero</li><li>Materiale: Plastica","Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Personaggio Hasbro</b>!<br><br><ul><li>Colore: Nero</li><li>Materiale: Plastica</li><li>Età consigliata: + 3 anni</li><li>Non Include: Batteria</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/5010996281173_S71024319_P00.jpg,https://cdnbigbuy.com/images/5010996281173_S71024319_P50.jpg,https://cdnbigbuy.com/images/5010996281173_S71024319_P10.jpg,https://cdnbigbuy.com/images/5010996281173_R70.jpg,41.2,22,NEW,19.0,26.0,8.0,0.16,3952.0,EUR,2,8,3
S7142005,3431541108868,it-IT,Giardinaggio e fai da te,Spazzola abrasiva Fartools 110886 Nylon,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Sp","Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Spazzola abrasiva Fartools 110886 Nylon</b> al miglior prezzo.<br><br><ul><li>Tipo: Spazzola abrasiva</li><li>Colore: Rosso</li><li>Compatibile: <ul><li>REX120C</li><li>REX 200</li></ul></li><li>Materiale: Nylon</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/3431541108868_S7142005_P00.jpg,https://cdnbigbuy.com/images/3431541108868_S7142005_P10.jpg,,,95.23,2,NEW,11.4,12.8,12.8,0.9,1867.78,EUR,2,8,3
M0609125,4011905642987,it-IT,Articoli da cucina e per la casa,Tosatrice per animali domestici Trixie TR1600 Acciaio inossidabile Plastica,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Tosatrice per animali domestici Trixie TR1600 Acciaio inossidabile Plastica</b>","Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Tosatrice per animali domestici Trixie TR1600 Acciaio inossidabile Plastica</b>!<br><br><ul><li>Prodotto plug-in: Sì</li><li>Tipo: Tosatrice per animali domestici</li><li>Materiale: <ul><li>Acciaio inossidabile</li><li>Plastica</li></ul></li><li>Caratteristiche: <ul><li>Regolabile</li><li>Ergonomico</li><li>Indicatore batteria</li><li>Ricaricabile</li><li>Facile da pulire</li></ul></li><li>Animale Domestico: Cane</li><li>Incl",Pop Pulse Emporium,https://cdnbigbuy.com/images/4011905642987_M0609125_P00.jpg,https://cdnbigbuy.com/images/4011905642987_M0609125_P260.jpg,https://cdnbigbuy.com/images/4011905642987_M0609125_P180.jpg,https://cdnbigbuy.com/images/4011905642987_M0609125_P100.jpg,58.98,9,NEW,33.0,36.0,54.0,0.56,64152.0,EUR,2,8,3
D2102756,8430316969852,it-IT,Casa e arredamento,Trapunta Pierre Cardin AROA Azzurro Osimano (3 Pezzi),"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Tr","Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Trapunta Pierre Cardin AROA Azzurro Osimano (3 Pezzi)</b> al miglior prezzo.<br><br><ul><li>Tipo: Trapunta</li><li>Colore: Azzurro</li><li>Dimensione: Osimano</li><li>Numero di pezzi: 3 Pezzi</li><li>Composizione: 100 % poliestere</li><li>Grammatura: 300 g/m²</li><li>Istruzioni per il lavaggio: <ul><li>Non utilizzare candeggina</li><li>Lavabile in la",Pop Pulse Emporium,https://cdnbigbuy.com/images/8430316969852_D2102756_P20.jpg,https://cdnbigbuy.com/images/8430316969852_D2102756_P10.jpg,https://cdnbigbuy.com/images/8430316969852_D2102756_P00.jpg,,59.08,5,NEW,51.0,38.0,10.8,2.48,20930.4,EUR,2,8,3
S1135200,8422259774648,it-IT,Neonati e bambini,Costume per Adulti Scheletro XXL,Mettiti in forma e scopri le ultime novità del settore per fare sport con le migliori garanzie! Compra <b>Costume per Adulti Scheletro XXL</b> al migl,Mettiti in forma e scopri le ultime novità del settore per fare sport con le migliori garanzie! Compra <b>Costume per Adulti Scheletro XXL</b> al miglior prezzo e goditi una vita salutare!<br><br><ul><li>Modello: Scheletro</li><li>Dimensione: XXL</li><li>Tipo: <ul><li>Halloween</li><li>Costume per Adulti</li></ul></li><li>Composizione: 100 % poliestere</li><li>Include: Vestito</li></ul>,Pop Pulse Emporium,https://cdnbigbuy.com/images/S1135200_1727779128-no-background0.jpg,https://cdnbigbuy.com/images/8422259774648_S1135200_P30.jpg,https://cdnbigbuy.com/images/8422259774648_S1135200_P40.jpg,https://cdnbigbuy.com/images/28631_Mandatory_Disfraces-Hombre0.jpg,20.23,48,NEW,33.5,33.0,17.0,0.72,18793.5,EUR,2,8,3
S8111559,8421078037538,it-IT,Casa e arredamento,"Mixer JATA JELI1580 Argentato 400 W 1,5 L","Se cerchi elettrodomestici per la tua casa ai migliori prezzi, non lasciarti sfuggire <b>Mixer JATA JELI1580 Argentato 400 W 1,5 L</b> e una vasta sel","Se cerchi elettrodomestici per la tua casa ai migliori prezzi, non lasciarti sfuggire <b>Mixer JATA JELI1580 Argentato 400 W 1,5 L</b> e una vasta selezione di piccoli elettrodomestici di qualità!<br><br><p>Il <b>frullatore</b> <b>JATA JELI1580</b> è una soluzione efficiente e robusta per chi desidera preparare succhi e frullati in casa con la garanzia di un funzionamento costante e semplice. La sua <b>potenza di 400 W</b> offre prestazioni ottimali per triturare frutta e verdura di diverse cons",Pop Pulse Emporium,https://cdnbigbuy.com/images/8421078037538_S8111559_P00.jpg,,,,58.42,2,NEW,31.0,30.5,19.0,2.6,17964.5,EUR,2,8,3
M1204819,4007140357014,it-IT,Giardinaggio e fai da te,Punta per metallo RUKO 160 mm DIN 338 Ø 14 mm Elicoidale 5 Unità,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Pu","Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Punta per metallo RUKO 160 mm DIN 338 Ø 14 mm Elicoidale 5 Unità</b> al miglior prezzo.<br><br><ul><li>Materiale: Acciaio ad alta velocità (HSS)</li><li>Standard: DIN 338</li><li>Forma: Elicoidale</li><li>Unità: 5 Unità</li><li>Dimensioni appross.: 160 mm</li><li>Diametro: Ø 14 mm</li><li>Dimensioni di taglio: 108 mm</li><li>Caratteristiche: Auto-cen",Pop Pulse Emporium,https://cdnbigbuy.com/images/4007140357014_M1204819_P00.jpg,https://cdnbigbuy.com/images/4007140357014_M1204819_P10.jpg,,,153.34,2,NEW,16.5,5.0,5.0,0.65,412.5,EUR,2,8,3
S71008943,4005555004448,it-IT,Neonati e bambini,Puzzle Ravensburger Panorama,"I bambini meritano il meglio, per questo ti presentiamo <b>Puzzle Ravensburger Panorama</b>, ideale per coloro che cercano prodotti di qualità per i p","I bambini meritano il meglio, per questo ti presentiamo <b>Puzzle Ravensburger Panorama</b>, ideale per coloro che cercano prodotti di qualità per i più piccoli! Scopri <b>Ravensburger</b> ai migliori prezzi!<br><br><p>Il <b>puzzle</b> <b>Panorama</b> del marchio <b>Ravensburger</b> è un set di <b>1000 pezzi</b> realizzati in <b>cartone di alta qualità</b>, progettato per offrire un’esperienza stimolante e divertente sia a bambini che adulti. Il formato panoramico facilita una visione ampia e de",Pop Pulse Emporium,https://cdnbigbuy.com/images/4005555004448_S71008943_P10.jpg,https://cdnbigbuy.com/images/4005555004448_S71008943_P00.jpg,https://cdnbigbuy.com/images/4005555004448_S71008943_P20.jpg,https://cdnbigbuy.com/images/4005555004448_S71008943_P30.jpg,45.98,4,NEW,33.5,25.8,5.4,0.82,4667.22,EUR,2,8,3
M1204092,4011024416315,it-IT,Giardinaggio e fai da te,Frusta per mescolare Collomix DLX 120 M,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Fr","Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Frusta per mescolare Collomix DLX 120 M</b> al miglior prezzo.<br><br><ul><li>Tipo: Frusta per mescolare</li><li>Colore: Turchese</li><li>Dimensione: 20 mm</li><li>Potenza: 1000 W</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/4011024416315_M1204092_P00.jpg,https://cdnbigbuy.com/images/4011024416315_M1204092_P10.jpg,,,49.44,25,NEW,59.0,12.0,12.0,0.84,8496.0,EUR,2,8,3
S71019317,0194735176021,it-IT,Neonati e bambini,Bambolotto Neonato Mattel,"I bambini meritano il meglio, per questo ti presentiamo <b>Bambolotto Neonato Mattel</b>, ideale per coloro che cercano prodotti di qualità per i più ","I bambini meritano il meglio, per questo ti presentiamo <b>Bambolotto Neonato Mattel</b>, ideale per coloro che cercano prodotti di qualità per i più piccoli! Scopri <b>Mattel</b> ai migliori prezzi!<br><br><ul><li>Tipo: <ul><li>Bambolotto Neonato</li><li>Bambola</li></ul></li><li>Colore: Multicolore</li><li>Materiale: Plastica</li><li>Età consigliata: + 3 anni</li><li>Batterie incluse: No</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0194735176021_S71019317_P00.jpg,https://cdnbigbuy.com/images/0194735176021_R30.jpg,https://cdnbigbuy.com/images/0194735176021_I20.jpg,https://cdnbigbuy.com/images/0194735176021_S71019317_P40.jpg,50.26,4,NEW,33.0,20.0,7.0,0.28,4620.0,EUR,2,8,3
