id_offer,ean,locale,category,title,short_description,description,manufacturer,picture_1,picture_2,picture_3,picture_4,price_cs,quantity,condition,length,width,height,weight,content_volume,currency,handling_time,delivery_time_max,delivery_time_min
M0608827,4011905645063,pl-PL,Gardening & DIY,Sweter dla Psa Trixie Kolor Zielony Oliwka S,"Jeśli szukasz trendów na rynku, prezentujemy <b>Sweter dla Psa Trixie Kolor Zielony Oliwka S</b>!<br><br><ul><li>Zwierzę domowe: Pies</li><li>Rodzaj: ","Jeśli szukasz trendów na rynku, prezentujemy <b>Sweter dla Psa Trixie Kolor Zielony Oliwka S</b>!<br><br><ul><li>Zwierzę domowe: Pies</li><li>Rodzaj: Sweter dla Psa</li><li>Kolor: <ul><li>Kolor Zielony</li><li>Oliwka</li></ul></li><li>Rozmiar: S</li><li>Materiał: <ul><li>Bawełna</li><li>Poliamid</li><li>Wełna</li></ul></li><li>Pomiar szyi: 34 cm</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/4011905645063_M0608827_P20.jpg,https://cdnbigbuy.com/images/4011905645063_M0608827_P60.jpg,https://cdnbigbuy.com/images/4011905645063_M0608827_P10.jpg,https://cdnbigbuy.com/images/4011905645063_M0608827_P140.jpg,93.15,5,NEW,38.0,38.0,24.0,0.18,34656.0,PLN,2,8,3
S3062321,8424002221812,pl-PL,Gardening & DIY,Doniczka Home ESPRIT Dwuowy Włókno Miejska (3 Części),"Jeśli szukasz trendów na rynku, prezentujemy <b>Doniczka Home ESPRIT Dwuowy Włókno Miejska (3 Części)</b>!<br><br><ul><li>Rodzaj: Doniczka</li><li>Kol","Jeśli szukasz trendów na rynku, prezentujemy <b>Doniczka Home ESPRIT Dwuowy Włókno Miejska (3 Części)</b>!<br><br><ul><li>Rodzaj: Doniczka</li><li>Kolor: Dwuowy</li><li>Materiał: Włókno</li><li>Design: Miejska</li><li>Liczba sztuk: 3 Części</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8424002221812_S3062321_P30.jpg,https://cdnbigbuy.com/images/8424002221812_S3062321_P20.jpg,https://cdnbigbuy.com/images/8424002221812_S3062321_P00.jpg,https://cdnbigbuy.com/images/8424002221812_S3062321_P10.jpg,370.73,48,NEW,39.0,39.0,40.0,1.49,60840.0,PLN,2,8,3
S7930092,3253569601042,pl-PL,Gardening & DIY,Ostrza do narzędzia wielofunkcyjnego Dewalt,"Jeśli lubisz dbać o każdy szczegół swojego domu i śledzić najnowsze trendy w produktach, które ułatwią Ci życie, kupuj <b>Ostrza do narzędzia wielofun","Jeśli lubisz dbać o każdy szczegół swojego domu i śledzić najnowsze trendy w produktach, które ułatwią Ci życie, kupuj <b>Ostrza do narzędzia wielofunkcyjnego Dewalt</b> o najkorzystniejszej cenie.<br><br><ul><li>Kolor: Czarny</li><li>Właściwości: Wodoodporny</li><li>Materiał: Poliester</li><li>Nie zawiera: Bateria</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/3253569601042_S7930092_P00.jpg,https://cdnbigbuy.com/images/3253569601042_S7930092_P20.jpg,https://cdnbigbuy.com/images/3253569601042_R00.jpg,https://cdnbigbuy.com/images/3253569601042_S7930092_P10.jpg,400.5,2,NEW,12.4,17.1,8.6,2.76,1823.54,PLN,2,8,3
S72127400,0889214458087,pl-PL,Gardening & DIY,Ramki do okularów Unisex Gant GA3298 50032,"Jeśli myślisz o odświeżeniu swojej garderoby, kup <b>Ramki do okularów Unisex Gant GA3298 50032</b> i inne <b>Gant produkty</b>! Najlepsza jakość w na","Jeśli myślisz o odświeżeniu swojej garderoby, kup <b>Ramki do okularów Unisex Gant GA3298 50032</b> i inne <b>Gant produkty</b>! Najlepsza jakość w najlepszej cenie jest już w zasięgu ręki!<br><br><ul><li>Właściwości: Standardowe soczewki</li><li>Rodzaj: Ramki do okularów</li><li>Płeć: Unisex</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0889214458087_S72127400_P00.jpg,https://cdnbigbuy.com/images/0889214458087_R10.jpg,https://cdnbigbuy.com/images/0889214458087_R20.jpg,https://cdnbigbuy.com/images/0889214458087_S72127400_P10.jpg,337.69,24,NEW,8.5,9.1,10.3,0.16,796.71,PLN,2,8,3
S0246596,6941812725115,pl-PL,Gardening & DIY,Smartwatch Xiaomi Redmi Watch 5 Czarny Srebrzysty,"Jeśli szukasz trendów na rynku, prezentujemy <b>Smartwatch Xiaomi Redmi Watch 5 Czarny Srebrzysty</b>!<br><br><p><b>Xiaomi Redmi Watch 5</b> to <b>sma","Jeśli szukasz trendów na rynku, prezentujemy <b>Smartwatch Xiaomi Redmi Watch 5 Czarny Srebrzysty</b>!<br><br><p><b>Xiaomi Redmi Watch 5</b> to <b>smartwatch</b> zaprojektowany, by łączyć styl, funkcjonalność i trwałość, idealny dla aktywnych użytkowników szukających nowoczesnego i wszechstronnego urządzenia. Posiada <b>ultracienką ramkę o grubości 2 mm</b> oraz <b>2,07-calowy ekran AMOLED</b> o wysokiej jasności i <b>częstotliwości odświeżania 60 Hz</b>, co zapewnia wyraźny i płynny obraz nawet",Pop Pulse Emporium,https://cdnbigbuy.com/images/6941812725115_I00.jpg,https://cdnbigbuy.com/images/6941812725115_I40.jpg,https://cdnbigbuy.com/images/6941812725115_R120.jpg,https://cdnbigbuy.com/images/6941812725115_R80.jpg,607.72,5,NEW,11.5,10.9,10.1,0.03,1266.04,PLN,2,8,3
S7157823,3380743071176,pl-PL,Gardening & DIY,Gitara Lexibook K200TV,"Dzieci zasługują na to co najlepsze, dlatego przedstawiamy Ci <b>Gitara Lexibook K200TV</b>, idealny dla tych, którzy szukają produktów wysokiej jakoś","Dzieci zasługują na to co najlepsze, dlatego przedstawiamy Ci <b>Gitara Lexibook K200TV</b>, idealny dla tych, którzy szukają produktów wysokiej jakości dla dzieci! Zdobądź <b>Lexibook</b> w najlepszych cenach!<br><br><ul><li>Zalecany Wiek: + 3 lat</li><li>Kolor: <ul><li>Czerwony</li><li>rouge</li></ul></li><li>Materiał: Plastikowy</li><li>Rozmiar: 53 cm</li><li>Nie zawiera: Bateria</li></ul><br><br>UWAGA: + 3 lat.",Pop Pulse Emporium,https://cdnbigbuy.com/images/3380743071176_S7157823_P00.jpg,,,,245.59,2,NEW,55.0,20.0,7.0,0.6,7700.0,PLN,2,8,3
S71025190,3700891713047,pl-PL,Gardening & DIY,Poduszka Demon Slayer,"Jeśli szukasz trendów na rynku, prezentujemy <b>Poduszka Demon Slayer</b>!<br><br><ul><li>Rodzaj: Poduszka</li></ul>","Jeśli szukasz trendów na rynku, prezentujemy <b>Poduszka Demon Slayer</b>!<br><br><ul><li>Rodzaj: Poduszka</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/3700891713047_S71025190_P00.jpg,https://cdnbigbuy.com/images/3700891713047_S71025190_P40.jpg,https://cdnbigbuy.com/images/3700891713047_S71025190_P30.jpg,https://cdnbigbuy.com/images/3700891713047_S71025190_P20.jpg,148.63,9,NEW,39.0,40.0,3.0,0.32,4680.0,PLN,2,8,3
S7195763,4892210218919,pl-PL,Gardening & DIY,Zestaw polerski majsterkowicza Ryobi RARSGK 27 Części,"Jeśli lubisz dbać o każdy szczegół swojego domu i śledzić najnowsze trendy w produktach, które ułatwią Ci życie, kupuj <b>Zestaw polerski majsterkowic","Jeśli lubisz dbać o każdy szczegół swojego domu i śledzić najnowsze trendy w produktach, które ułatwią Ci życie, kupuj <b>Zestaw polerski majsterkowicza Ryobi RARSGK 27 Części</b> o najkorzystniejszej cenie.<br><br><ul><li>Kompatybilny z: <ul><li>Drewno</li><li>Metal</li><li>Plastikowy</li></ul></li><li>Liczba sztuk: 27 Części</li><li>Prędkość: 35000 rpm</li><li>Średnica: Ø 3,2 mm</li><li>Zasilanie: Bateria</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/4892210218919_S7195763_P30.jpg,https://cdnbigbuy.com/images/4892210218919_S7195763_P00.jpg,https://cdnbigbuy.com/images/4892210218919_S7195763_P10.jpg,https://cdnbigbuy.com/images/4892210218919_S7195763_P20.jpg,177.05,19,NEW,16.8,9.4,4.0,0.2,631.68,PLN,2,8,3
S71023357,4007923160152,pl-PL,Gardening & DIY,Wózek Spacerowy dla Niemowląt Hauck Beżowy,"Dzieci zasługują na to co najlepsze, dlatego przedstawiamy Ci <b>Wózek Spacerowy dla Niemowląt Hauck Beżowy</b>, idealny dla tych, którzy szukają prod","Dzieci zasługują na to co najlepsze, dlatego przedstawiamy Ci <b>Wózek Spacerowy dla Niemowląt Hauck Beżowy</b>, idealny dla tych, którzy szukają produktów wysokiej jakości dla dzieci! Zdobądź <b>Hauck</b> i inne produkty markowe i licencyjne w najlepszych cenach!<br><br><ul><li>Kolor: Beżowy</li><li>Materiał: <ul><li>Aluminium</li><li>Miękka Pianka EVA</li></ul></li><li>Szerokość produktu: 86 cm</li><li>Właściwości: <ul><li>Składany</li><li>Regulowane siedzenie</li><li>Ergonomiczny</li><li>Regu",Pop Pulse Emporium,https://cdnbigbuy.com/images/4007923160152_S71023357_P00.jpg,https://cdnbigbuy.com/images/4007923160152_S71023357_P50.jpg,https://cdnbigbuy.com/images/4007923160152_S71023357_P10.jpg,https://cdnbigbuy.com/images/4007923160152_S71023357_P20.jpg,1000.09,2,NEW,45.0,59.0,27.0,8.16,71685.0,PLN,2,8,3
S0394511,7613272497398,pl-PL,Gardening & DIY,Zegarek Męski Calvin Klein 25200164 (Ø 40 mm),"Jeśli szukasz trendów na rynku, prezentujemy <b>Zegarek Męski Calvin Klein 25200164 (Ø 40 mm)</b>!<br><br><ul><li>Płeć: Mężczyzna</li><li>Dodatkowe oc","Jeśli szukasz trendów na rynku, prezentujemy <b>Zegarek Męski Calvin Klein 25200164 (Ø 40 mm)</b>!<br><br><ul><li>Płeć: Mężczyzna</li><li>Dodatkowe oczka: Nie</li><li>Typ zegarka: Zegarek na rękę</li><li>Materiał bransoletki: Stal nierdzewna</li><li>Materiał na obudowę zegarka: Stal nierdzewna</li><li>Rodzaj ruchu: Kwarc</li><li>Szkło: Minerał</li><li>Zawiera: Zawiera etui lub pokrowiec marki</li><li>Rodzaj zapięcia: Motyl</li><li>Kolor tarczy: Szary</li><li>Kolor pudełka na zegarek: Szary</li><",Pop Pulse Emporium,https://cdnbigbuy.com/images/7613272497398_S7273906_P00.jpg,https://cdnbigbuy.com/images/7613272497398_S0394511_P00.jpg,https://cdnbigbuy.com/images/7613272497398_R30.jpg,https://cdnbigbuy.com/images/32754_mandatory-watch0.jpg,770.35,19,NEW,32.0,19.0,10.0,0.4,6080.0,PLN,2,8,3
