id_offer,ean,locale,category,title,short_description,description,manufacturer,picture_1,picture_2,picture_3,picture_4,price_cs,quantity,condition,length,width,height,weight,content_volume,currency,handling_time,delivery_time_max,delivery_time_min
S7290591,8434103498341,sk-SK,Gardening & DIY,Prívesok na kľúče Radiant RY000215 Zlatá,Vybavte svoje vozidlo najnovšími výrobkami! Kúpte si <b>Prívesok na kľúče Radiant RY000215 Zlatá</b> a nenechajte si ujsť žiadne detaily!<br><br><ul><,Vybavte svoje vozidlo najnovšími výrobkami! Kúpte si <b>Prívesok na kľúče Radiant RY000215 Zlatá</b> a nenechajte si ujsť žiadne detaily!<br><br><ul><li>Farba: Zlatá</li><li>Typ: Prívesok na kľúče</li></ul>,Pop Pulse Emporium,https://cdnbigbuy.com/images/8434103498341_S7290591_P00.jpg,,,,76.62,2,NEW,10.0,10.0,10.0,0.23,1000.0,EUR,2,8,3
S0324709,8031301766250,sk-SK,Gardening & DIY,Dámske hodinky Chronotech CT2188LS-05M (Ø 40 mm),"Ak sledujete trendy v oblasti módy a doplnkov, nakupujte <b>Dámske hodinky Chronotech CT2188LS-05M (Ø 40 mm)</b> za najlepšie ceny.<br><br><ul><li>Mat","Ak sledujete trendy v oblasti módy a doplnkov, nakupujte <b>Dámske hodinky Chronotech CT2188LS-05M (Ø 40 mm)</b> za najlepšie ceny.<br><br><ul><li>Materiál náramku: Oceľ</li><li>Typ zapínania: Tlakové</li><li>Sklo: Minerál</li><li>Farba cilindra: Žltá</li><li>Vodeodolnosť: Č.</li><li>Obsahuje: K produktu dostanete originálnu krabičku</li><li>Typ pohybu: Kremeň</li><li>Farba puzdra hodiniek: Striebristý</li><li>Farba remienka: Striebristý</li><li>Materiál puzdra hodiniek: <ul><li>Oceľ</li><li>Ner",Pop Pulse Emporium,https://cdnbigbuy.com/images/8031301766250_0_P02.jpg,https://cdnbigbuy.com/images/8031301766250_1_P12.jpg,https://cdnbigbuy.com/images/21176_mandatory-watch2.jpg,,46.5,5,NEW,32.0,19.0,10.0,0.4,6080.0,EUR,2,8,3
M0125951,3701129805824,sk-SK,Gardening & DIY,Krém na tvár Bioderma,"<p> <b> Krém na tvár Bioderma </b> je kvalitný výrobok určený pre náročných ľudí, ktorí sa starajú o svoj imidž a hľadajú tú najlepšiu kozmetiku na zv","<p> <b> Krém na tvár Bioderma </b> je kvalitný výrobok určený pre náročných ľudí, ktorí sa starajú o svoj imidž a hľadajú tú najlepšiu kozmetiku na zvýraznenie svojej krásy. Ak ste jedným z nich, výrobky <b> Bioderma 100% originálne </b> sú vyrobené pre vás. </p><br><br><ul><li>Typ: Krém na tvár</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/3701129805824_R00.jpg,,,,36.97,25,NEW,8.4,7.11,10.62,0.21,634.27,EUR,2,8,3
S0389692,0197853277472,sk-SK,Gardening & DIY,Taška na plece Michael Kors 35F4STVC1L-PEARL-GREY Sivá 21 x 12 x 5 cm,"Ak hľadáte nové trendy na trhu, predstavujeme <b>Taška na plece Michael Kors 35F4STVC1L-PEARL-GREY Sivá 21 x 12 x 5 cm</b>!<br><br><ul><li>Typ: Taška ","Ak hľadáte nové trendy na trhu, predstavujeme <b>Taška na plece Michael Kors 35F4STVC1L-PEARL-GREY Sivá 21 x 12 x 5 cm</b>!<br><br><ul><li>Typ: Taška na plece</li><li>Farba: Sivá</li><li>Zloženie: Koža</li><li>Typ zapínania: click</li><li>Obsahuje: Zahŕňa puzdro alebo obal značky</li><li>Približné rozmery: 21 x 12 x 5 cm</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/0197853277472_S0389692_P00.jpg,https://cdnbigbuy.com/images/0197853277472_S0389692_P10.jpg,https://cdnbigbuy.com/images/0197853277472_S0389692_P20.jpg,,194.03,10,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S8408945,8413623100743,sk-SK,Gardening & DIY,Lepiaci obal na knihy Grafoplas Nastaviteľný Fazónka Transparentná PVC 25 Kusy 28 x 53 cm,"Tillbaka till kontoret utan att ha glömt en enda pryl! Köp  <b>Lepiaci obal na knihy Grafoplas Nastaviteľný Fazónka 0,12 mm Transparentná PVC 25 kusov","Tillbaka till kontoret utan att ha glömt en enda pryl! Köp  <b>Lepiaci obal na knihy Grafoplas Nastaviteľný Fazónka 0,12 mm Transparentná PVC 25 kusov (28 x 53 cm)</b> och låt dina kollegor avundas dig!<br><ul><li>Farba: Transparentná</li><li>Materiál: PVC</li><li>Približné rozmery: 28 x 53 cm</li><li>Kusov: 25 kusov</li><li>Hrúbka: 0,12 mm</li><li>Nezahŕňa: Lepidlá</li><li>Vlastnosti: Nastaviteľný</li><li>Typ zapínania: Fazónka</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8413623100743_S8408945_P00.jpg,,,,22.55,50,NEW,30.45,18.7,4.17,0.19,2374.46,EUR,2,8,3
S0388970,8033288957270,sk-SK,Gardening & DIY,Dámske náušnice Chiara Ferragni J19AUV28 Kov 2 cm,"Ak hľadáte nové trendy na trhu, predstavujeme <b>Dámske náušnice Chiara Ferragni J19AUV28 Kov 2 cm</b>!<br><br><ul><li>Pohlavie: Dáma</li><li>Typ: Dám","Ak hľadáte nové trendy na trhu, predstavujeme <b>Dámske náušnice Chiara Ferragni J19AUV28 Kov 2 cm</b>!<br><br><ul><li>Pohlavie: Dáma</li><li>Typ: Dámske náušnice</li><li>Farba: Sivá</li><li>Materiál: Kov</li><li>Typ zapínania: Tlakové</li><li>Obsahuje: Zahŕňa puzdro alebo obal značky</li><li>Približné rozmery: 2 cm</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8033288957270_S0388970_P00.jpg,,,,65.48,5,NEW,10.0,10.0,10.0,0.3,1000.0,EUR,2,8,3
S0383017,4895173309687,sk-SK,Gardening & DIY,Dámske hodinky Ice 020380  (Ø 40 mm),"Ak sledujete trendy v oblasti módy a doplnkov, nakupujte <b>Dámske hodinky Ice 020380  (Ø 40 mm)</b> za najlepšie ceny.<br><br><ul><li>Pohlavie: Dáma<","Ak sledujete trendy v oblasti módy a doplnkov, nakupujte <b>Dámske hodinky Ice 020380  (Ø 40 mm)</b> za najlepšie ceny.<br><br><ul><li>Pohlavie: Dáma</li><li>Extra články reťaze: Č.</li><li>Druh hodiniek: Náramkové hodinky</li><li>Materiál náramku: Silikónové</li><li>Materiál puzdra hodiniek: Nerezová oceľ</li><li>Typ pohybu: Kremeň</li><li>Sklo: Minerál</li><li>Vodeodolnosť: 10 atm</li><li>Obsahuje: K produktu dostanete originálnu krabičku</li><li>Typ zapínania: Pracka</li><li>Farba cilindra: M",Pop Pulse Emporium,https://cdnbigbuy.com/images/4895173309687_S0383017_P00.jpg,https://cdnbigbuy.com/images/79376_mandatory-watch0.jpg,https://cdnbigbuy.com/images/S0383017_123958_1713940863-cropped0.jpg,,77.35,10,NEW,32.0,19.0,10.0,0.4,6080.0,EUR,2,8,3
S0460792,8411577500060,sk-SK,Gardening & DIY,Čierny čaj Saula PIRAMIDES,"Ak hľadáte nové trendy na trhu, predstavujeme <b>Čierny čaj Saula PIRAMIDES</b>!<br><br><ul><li>Kusov: 20 kusov</li></ul>","Ak hľadáte nové trendy na trhu, predstavujeme <b>Čierny čaj Saula PIRAMIDES</b>!<br><br><ul><li>Kusov: 20 kusov</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8411577500060_S0460792_P00.jpg,,,,20.7,5,NEW,8.98,9.03,14.21,0.24,1152.28,EUR,2,8,3
S7912517,8423224813232,sk-SK,Gardening & DIY,Nohy Rei 406e Oceľ Valcovitá Dĺžka,"Ak pri zariaďovaní vášho domova kladiete dôraz na všetky detaily a chcete byť priebežne informovaný o najnovších výrobkoch, ktoré vám uľahčia život, n","Ak pri zariaďovaní vášho domova kladiete dôraz na všetky detaily a chcete byť priebežne informovaný o najnovších výrobkoch, ktoré vám uľahčia život, nakupujte <b>Nohy Rei 406e Oceľ Valcovitá Dĺžka</b> za tú najlepšiu cenu.<br><br><ul><li>Tvar: Valcovitá</li><li>Typ: Nohy</li><li>Vlastnosti: Dĺžka</li><li>Materiál: <ul><li>Oceľ</li><li>Aluminium</li></ul></li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8423224813232_S7912517_P01.jpg,,,,27.98,9,NEW,7.0,7.0,72.0,2.21,3528.0,EUR,2,8,3
S7295152,8434103500174,sk-SK,Gardening & DIY,Dámske hodinky Tous 3000134500,"Ak sledujete trendy v oblasti módy a doplnkov, nakupujte <b>Dámske hodinky Tous 3000134500</b> za najlepšie ceny.<br><br><ul><li>Pohlavie: Dáma</li><l","Ak sledujete trendy v oblasti módy a doplnkov, nakupujte <b>Dámske hodinky Tous 3000134500</b> za najlepšie ceny.<br><br><ul><li>Pohlavie: Dáma</li><li>Extra články reťaze: Č.</li><li>Druh hodiniek: Náramkové hodinky</li><li>Farba: Striebristý</li><li>Typ pohybu: Kremeň</li></ul>",Pop Pulse Emporium,https://cdnbigbuy.com/images/8434103500174_R00.jpg,https://cdnbigbuy.com/images/8434103500174_R10.jpg,https://cdnbigbuy.com/images/8434103500174_R20.jpg,https://cdnbigbuy.com/images/94164_mandatory-watch0.jpg,242.68,2,NEW,14.16,11.56,10.0,0.33,1636.9,EUR,2,8,3
