ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
8436603199957;S64194106;100;5798.83;CZK;8;2;3;8
4899888817345;S8907005;100;1356.28;CZK;50;2;3;8
4899888815471;S2240442;100;1624.28;CZK;50;2;3;8
8436603199933;S64194102;100;5798.83;CZK;2;2;3;8
8445402131945;S64146290;100;445.95;CZK;9;2;3;8
8720388645885;S64190190;100;1422.29;CZK;2;2;3;8
8445484567892;S2460292;100;588.64;CZK;2;2;3;8
8436612940540;S64194097;100;5412.64;CZK;4;2;3;8
8008004005870;S7928494;100;988.27;CZK;50;2;3;8
3032167509185;S71024881;100;1547.59;CZK;10;2;3;8
8008004005962;S7928496;100;1877.65;CZK;50;2;3;8
5715571035812;S71020940;100;1167.33;CZK;17;2;3;8
0887791196774;S64149697;100;617.1;CZK;18;2;3;8
5400974003338;S64194049;100;6372.38;CZK;2;2;3;8
4899888817512;S8907046;100;1719.54;CZK;50;2;3;8
8719407081131;S7926804;100;1017.13;CZK;50;2;3;8
8445402691920;S9919396;100;5297.22;CZK;10;2;3;8
4899888792789;S8906406;100;1259.83;CZK;50;2;3;8
8421078039099;S7612558;100;470.85;CZK;9;2;3;8
8033280490188;S7930360;100;2255.54;CZK;10;2;3;8
8436603199971;S9918824;100;5118.95;CZK;5;2;3;8
8412688608133;S4313222;100;900.91;CZK;50;2;3;8
8436612940861;S64194119;100;1139.27;CZK;2;2;3;8
0887791773340;S64193204;100;1001.32;CZK;9;2;3;8
4899888792765;S8906402;100;2755.96;CZK;50;2;3;8
4899888812050;S3633901;100;1954.34;CZK;10;2;3;8
8008004141103;S7928495;100;1746.81;CZK;50;2;3;8
8033280490065;S7930357;100;2255.54;CZK;2;2;3;8
4003318405990;S71023008;100;3460.75;CZK;2;2;3;8
3032167509239;S71024883;100;1547.59;CZK;8;2;3;8
8711252267562;S7924095;100;762.57;CZK;25;2;3;8
4899888814115;S8906708;100;740.83;CZK;50;2;3;8
4899888816942;S8906922;100;1995.84;CZK;25;2;3;8
0773554000917;S71022741;100;2472.55;CZK;2;2;3;8
8412842543072;S8907043;100;2189.92;CZK;50;2;3;8
8412842543065;S8907042;100;1759.46;CZK;50;2;3;8
0197778893399;S64185683;100;649.12;CZK;2;2;3;8
4000885707014;S71018755;100;2150.39;CZK;2;2;3;8
5052847107904;S71022157;100;9368.6;CZK;2;2;3;8
4899888817529;S8907048;100;1211.21;CZK;50;2;3;8
8435758312761;S64194181;100;7013.13;CZK;2;2;3;8
8412842631656;S8906997;100;1759.46;CZK;50;2;3;8
8445484567908;S2460293;100;588.64;CZK;9;2;3;8
4899888817505;S8907038;100;1153.1;CZK;50;2;3;8
4899888811251;S3633725;100;843.6;CZK;50;2;3;8
3032167509215;S71024882;100;1547.59;CZK;10;2;3;8
8711252272603;S7929155;100;1058.63;CZK;5;2;3;8
4000885709889;S71023080;100;1478.81;CZK;4;2;3;8
8711252172682;S7929107;100;1545.62;CZK;18;2;3;8
8002908472110;S64181798;100;841.62;CZK;2;2;3;8
5715571035805;S71020939;100;1159.82;CZK;9;2;3;8
4899888813958;S8906676;100;740.83;CZK;50;2;3;8
