ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
8436603199957;S64194106;100;241.62;EUR;8;2;3;8
4899888817345;S8907005;100;56.51;EUR;50;2;3;8
4899888815471;S2240442;100;67.68;EUR;50;2;3;8
8436603199933;S64194102;100;241.62;EUR;2;2;3;8
8445402131945;S64146290;100;18.58;EUR;9;2;3;8
8720388645885;S64190190;100;59.26;EUR;2;2;3;8
8445484567892;S2460292;100;24.53;EUR;2;2;3;8
8436612940540;S64194097;100;225.53;EUR;4;2;3;8
8008004005870;S7928494;100;41.18;EUR;50;2;3;8
3032167509185;S71024881;100;64.48;EUR;10;2;3;8
8008004005962;S7928496;100;78.24;EUR;50;2;3;8
5715571035812;S71020940;100;48.64;EUR;17;2;3;8
0887791196774;S64149697;100;25.71;EUR;18;2;3;8
5400974003338;S64194049;100;265.52;EUR;2;2;3;8
4899888817512;S8907046;100;71.65;EUR;50;2;3;8
8719407081131;S7926804;100;42.38;EUR;50;2;3;8
8445402691920;S9919396;100;220.72;EUR;10;2;3;8
4899888792789;S8906406;100;52.49;EUR;50;2;3;8
8421078039099;S7612558;100;19.62;EUR;9;2;3;8
8033280490188;S7930360;100;93.98;EUR;10;2;3;8
8436603199971;S9918824;100;213.29;EUR;5;2;3;8
8412688608133;S4313222;100;37.54;EUR;50;2;3;8
8436612940861;S64194119;100;47.47;EUR;2;2;3;8
0887791773340;S64193204;100;41.72;EUR;9;2;3;8
4899888792765;S8906402;100;114.83;EUR;50;2;3;8
4899888812050;S3633901;100;81.43;EUR;10;2;3;8
8008004141103;S7928495;100;72.78;EUR;50;2;3;8
8033280490065;S7930357;100;93.98;EUR;2;2;3;8
4003318405990;S71023008;100;144.2;EUR;2;2;3;8
3032167509239;S71024883;100;64.48;EUR;8;2;3;8
8711252267562;S7924095;100;31.77;EUR;25;2;3;8
4899888814115;S8906708;100;30.87;EUR;50;2;3;8
4899888816942;S8906922;100;83.16;EUR;25;2;3;8
0773554000917;S71022741;100;103.02;EUR;2;2;3;8
8412842543072;S8907043;100;91.25;EUR;50;2;3;8
8412842543065;S8907042;100;73.31;EUR;50;2;3;8
0197778893399;S64185683;100;27.05;EUR;2;2;3;8
4000885707014;S71018755;100;89.6;EUR;2;2;3;8
5052847107904;S71022157;100;390.36;EUR;2;2;3;8
4899888817529;S8907048;100;50.47;EUR;50;2;3;8
8435758312761;S64194181;100;292.21;EUR;2;2;3;8
8412842631656;S8906997;100;73.31;EUR;50;2;3;8
8445484567908;S2460293;100;24.53;EUR;9;2;3;8
4899888817505;S8907038;100;48.05;EUR;50;2;3;8
4899888811251;S3633725;100;35.15;EUR;50;2;3;8
3032167509215;S71024882;100;64.48;EUR;10;2;3;8
8711252272603;S7929155;100;44.11;EUR;5;2;3;8
4000885709889;S71023080;100;61.62;EUR;4;2;3;8
8711252172682;S7929107;100;64.4;EUR;18;2;3;8
8002908472110;S64181798;100;35.07;EUR;2;2;3;8
5715571035805;S71020939;100;48.33;EUR;9;2;3;8
4899888813958;S8906676;100;30.87;EUR;50;2;3;8
4899888792772;S8906404;100;114.83;EUR;50;2;3;8
5060945231926;S7927196;100;49.33;EUR;2;2;3;8
8436606906590;S0466069;100;19.45;EUR;25;2;3;8
8445402691845;S9919395;100;242.92;EUR;10;2;3;8
8033280490102;S7930358;100;93.98;EUR;5;2;3;8
8436603199926;S64194101;100;241.62;EUR;2;2;3;8
8445402691906;S9919402;100;250.3;EUR;5;2;3;8
3700628248545;S7168714;100;53.93;EUR;25;2;3;8
8445402691937;S64194072;100;241.62;EUR;5;2;3;8
8445402692040;S9919394;100;110.34;EUR;10;2;3;8
8412688608140;S4313233;100;45.05;EUR;50;2;3;8
4899888817499;S8907036;100;125.6;EUR;25;2;3;8
8033280490164;S7930355;100;93.98;EUR;10;2;3;8
8413887243026;S7928678;100;19.95;EUR;10;2;3;8
0753759305857;S7613156;100;317.53;EUR;4;2;3;8
8435778900511;S64194130;100;62.75;EUR;2;2;3;8
8445402691913;S9919398;100;235.52;EUR;10;2;3;8
3700092608944;S71022519;100;359.82;EUR;25;2;3;8
5400974040234;S64194206;100;223.88;EUR;2;2;3;8
8445484567939;S2460296;100;24.53;EUR;5;2;3;8
0887791761750;S64189687;100;26.22;EUR;8;2;3;8
5400974003697;S64192615;100;265.52;EUR;2;2;3;8
3032167509222;S71024657;100;65.37;EUR;10;2;3;8
8033280490225;S7930361;100;93.98;EUR;2;2;3;8
4004625550571;S71002310;100;69.08;EUR;2;2;3;8
8445954142437;S64193608;100;31.91;EUR;10;2;3;8
4899888812067;S3633903;100;81.43;EUR;50;2;3;8
4016224150519;M0316031;100;15.22;EUR;5;2;3;8
8435778900504;S64194131;100;62.75;EUR;2;2;3;8
8412842543058;S8907041;100;110.4;EUR;50;2;3;8
4899888814030;S8906692;100;30.87;EUR;50;2;3;8
8412842543027;S8907053;100;40.47;EUR;50;2;3;8
8435758312778;S64194183;100;292.21;EUR;2;2;3;8
8806095893532;M0806204;100;377.86;EUR;2;2;3;8
8412842543034;S8907039;100;68.34;EUR;50;2;3;8
8436603199940;S64194100;100;241.62;EUR;8;2;3;8
3523930110863;S71022980;100;70.0;EUR;5;2;3;8
8436603195720;S64194046;100;62.74;EUR;2;2;3;8
8413887517318;S7928675;100;26.16;EUR;17;2;3;8
4899888817352;S8907007;100;40.16;EUR;50;2;3;8
8436612940854;S64194120;100;50.25;EUR;2;2;3;8
8413887790582;S7928674;100;20.15;EUR;19;2;3;8
8413887280472;S7928677;100;18.52;EUR;25;2;3;8
4899888814078;S8906700;100;30.87;EUR;50;2;3;8
8412842631625;S8906992;100;40.47;EUR;50;2;3;8
8002908468199;S64192465;100;18.78;EUR;2;2;3;8
8413887266339;S7928676;100;16.06;EUR;10;2;3;8
0887791196781;S64149701;100;29.11;EUR;5;2;3;8
4899888740322;S8902392;100;147.99;EUR;5;2;3;8
8435778900498;S64194129;100;59.28;EUR;2;2;3;8
8445402691982;S9919399;100;220.72;EUR;10;2;3;8
8445402691890;S9919400;100;250.3;EUR;10;2;3;8
5715571507029;S71022191;100;43.71;EUR;10;2;3;8
4899888814160;S8906718;100;30.87;EUR;50;2;3;8
4015752494164;S71022856;100;72.92;EUR;10;2;3;8
3700092608937;S71022518;100;325.96;EUR;25;2;3;8
5715443912098;S71022576;100;31.38;EUR;10;2;3;8
4899888817468;S8907030;100;60.12;EUR;50;2;3;8
8001011282999;S71022378;100;43.52;EUR;8;2;3;8
4000885582215;S71022734;100;115.31;EUR;5;2;3;8
4899888817543;S8907052;100;69.87;EUR;50;2;3;8
4053423257274;S71020337;100;123.41;EUR;25;2;3;8
8436603198134;S64194180;100;62.75;EUR;2;2;3;8
8445484567915;S2460294;100;24.53;EUR;10;2;3;8
8445402691883;S9919401;100;258.85;EUR;5;2;3;8
8445402691975;S9919397;100;229.58;EUR;10;2;3;8
8033280490140;S7930359;100;93.98;EUR;9;2;3;8
0887791196767;S64149700;100;25.71;EUR;10;2;3;8
4899888815440;S2240436;100;64.19;EUR;50;2;3;8
5715571507036;S71022192;100;71.85;EUR;10;2;3;8
8413887342347;S7928673;100;15.24;EUR;18;2;3;8
8412842631618;S8906991;100;40.47;EUR;50;2;3;8
8412842543041;S8907040;100;87.82;EUR;50;2;3;8
3700092678510;S71021184;100;351.28;EUR;8;2;3;8
8445484567922;S2460295;100;24.53;EUR;9;2;3;8
8436548248635;S9919193;100;69.54;EUR;10;2;3;8
