ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
8436603199957;S64194106;100;1087.28;PLN;8;2;3;8
4899888817345;S8907005;100;254.3;PLN;50;2;3;8
4899888815471;S2240442;100;304.55;PLN;50;2;3;8
8436603199933;S64194102;100;1087.28;PLN;2;2;3;8
8445402131945;S64146290;100;83.61;PLN;9;2;3;8
8720388645885;S64190190;100;266.68;PLN;2;2;3;8
8445484567892;S2460292;100;110.37;PLN;2;2;3;8
8436612940540;S64194097;100;1014.87;PLN;4;2;3;8
8008004005870;S7928494;100;185.3;PLN;50;2;3;8
3032167509185;S71024881;100;290.17;PLN;10;2;3;8
8008004005962;S7928496;100;352.06;PLN;50;2;3;8
5715571035812;S71020940;100;218.87;PLN;17;2;3;8
0887791196774;S64149697;100;115.71;PLN;18;2;3;8
5400974003338;S64194049;100;1194.82;PLN;2;2;3;8
4899888817512;S8907046;100;322.41;PLN;50;2;3;8
8719407081131;S7926804;100;190.71;PLN;50;2;3;8
8445402691920;S9919396;100;993.23;PLN;10;2;3;8
4899888792789;S8906406;100;236.22;PLN;50;2;3;8
8421078039099;S7612558;100;88.28;PLN;9;2;3;8
8033280490188;S7930360;100;422.91;PLN;10;2;3;8
8436603199971;S9918824;100;959.8;PLN;5;2;3;8
8412688608133;S4313222;100;168.92;PLN;50;2;3;8
8436612940861;S64194119;100;213.61;PLN;2;2;3;8
0887791773340;S64193204;100;187.75;PLN;9;2;3;8
4899888792765;S8906402;100;516.74;PLN;50;2;3;8
4899888812050;S3633901;100;366.44;PLN;10;2;3;8
8008004141103;S7928495;100;327.53;PLN;50;2;3;8
8033280490065;S7930357;100;422.91;PLN;2;2;3;8
4003318405990;S71023008;100;648.89;PLN;2;2;3;8
3032167509239;S71024883;100;290.17;PLN;8;2;3;8
8711252267562;S7924095;100;142.98;PLN;25;2;3;8
4899888814115;S8906708;100;138.9;PLN;50;2;3;8
4899888816942;S8906922;100;374.22;PLN;25;2;3;8
0773554000917;S71022741;100;463.6;PLN;2;2;3;8
8412842543072;S8907043;100;410.61;PLN;50;2;3;8
8412842543065;S8907042;100;329.9;PLN;50;2;3;8
0197778893399;S64185683;100;121.71;PLN;2;2;3;8
4000885707014;S71018755;100;403.2;PLN;2;2;3;8
5052847107904;S71022157;100;1756.61;PLN;2;2;3;8
4899888817529;S8907048;100;227.1;PLN;50;2;3;8
8435758312761;S64194181;100;1314.96;PLN;2;2;3;8
8412842631656;S8906997;100;329.9;PLN;50;2;3;8
8445484567908;S2460293;100;110.37;PLN;9;2;3;8
4899888817505;S8907038;100;216.21;PLN;50;2;3;8
4899888811251;S3633725;100;158.17;PLN;50;2;3;8
3032167509215;S71024882;100;290.17;PLN;10;2;3;8
8711252272603;S7929155;100;198.49;PLN;5;2;3;8
4000885709889;S71023080;100;277.28;PLN;4;2;3;8
8711252172682;S7929107;100;289.8;PLN;18;2;3;8
8002908472110;S64181798;100;157.8;PLN;2;2;3;8
5715571035805;S71020939;100;217.47;PLN;9;2;3;8
4899888813958;S8906676;100;138.9;PLN;50;2;3;8
4899888792772;S8906404;100;516.74;PLN;50;2;3;8
5060945231926;S7927196;100;221.99;PLN;2;2;3;8
8436606906590;S0466069;100;87.54;PLN;25;2;3;8
8445402691845;S9919395;100;1093.14;PLN;10;2;3;8
8033280490102;S7930358;100;422.91;PLN;5;2;3;8
8436603199926;S64194101;100;1087.28;PLN;2;2;3;8
8445402691906;S9919402;100;1126.34;PLN;5;2;3;8
3700628248545;S7168714;100;242.67;PLN;25;2;3;8
8445402691937;S64194072;100;1087.28;PLN;5;2;3;8
8445402692040;S9919394;100;496.51;PLN;10;2;3;8
8412688608140;S4313233;100;202.72;PLN;50;2;3;8
4899888817499;S8907036;100;565.21;PLN;25;2;3;8
8033280490164;S7930355;100;422.91;PLN;10;2;3;8
8413887243026;S7928678;100;89.77;PLN;10;2;3;8
0753759305857;S7613156;100;1428.88;PLN;4;2;3;8
8435778900511;S64194130;100;282.39;PLN;2;2;3;8
8445402691913;S9919398;100;1059.86;PLN;10;2;3;8
3700092608944;S71022519;100;1619.2;PLN;25;2;3;8
5400974040234;S64194206;100;1007.46;PLN;2;2;3;8
8445484567939;S2460296;100;110.37;PLN;5;2;3;8
0887791761750;S64189687;100;118.0;PLN;8;2;3;8
5400974003697;S64192615;100;1194.82;PLN;2;2;3;8
3032167509222;S71024657;100;294.18;PLN;10;2;3;8
8033280490225;S7930361;100;422.91;PLN;2;2;3;8
4004625550571;S71002310;100;310.85;PLN;2;2;3;8
8445954142437;S64193608;100;143.57;PLN;10;2;3;8
4899888812067;S3633903;100;366.44;PLN;50;2;3;8
4016224150519;M0316031;100;68.5;PLN;5;2;3;8
8435778900504;S64194131;100;282.39;PLN;2;2;3;8
8412842543058;S8907041;100;496.81;PLN;50;2;3;8
4899888814030;S8906692;100;138.9;PLN;50;2;3;8
8412842543027;S8907053;100;182.11;PLN;50;2;3;8
8435758312778;S64194183;100;1314.96;PLN;2;2;3;8
8806095893532;M0806204;100;1700.36;PLN;2;2;3;8
8412842543034;S8907039;100;307.52;PLN;50;2;3;8
8436603199940;S64194100;100;1087.28;PLN;8;2;3;8
3523930110863;S71022980;100;315.0;PLN;5;2;3;8
8436603195720;S64194046;100;282.32;PLN;2;2;3;8
8413887517318;S7928675;100;117.71;PLN;17;2;3;8
4899888817352;S8907007;100;180.71;PLN;50;2;3;8
8436612940854;S64194120;100;226.14;PLN;2;2;3;8
8413887790582;S7928674;100;90.66;PLN;19;2;3;8
8413887280472;S7928677;100;83.32;PLN;25;2;3;8
4899888814078;S8906700;100;138.9;PLN;50;2;3;8
8412842631625;S8906992;100;182.11;PLN;50;2;3;8
8002908468199;S64192465;100;84.5;PLN;2;2;3;8
8413887266339;S7928676;100;72.28;PLN;10;2;3;8
0887791196781;S64149701;100;130.97;PLN;5;2;3;8
4899888740322;S8902392;100;665.94;PLN;5;2;3;8
8435778900498;S64194129;100;266.75;PLN;2;2;3;8
8445402691982;S9919399;100;993.23;PLN;10;2;3;8
8445402691890;S9919400;100;1126.34;PLN;10;2;3;8
5715571507029;S71022191;100;196.71;PLN;10;2;3;8
4899888814160;S8906718;100;138.9;PLN;50;2;3;8
4015752494164;S71022856;100;328.12;PLN;10;2;3;8
3700092608937;S71022518;100;1466.82;PLN;25;2;3;8
5715443912098;S71022576;100;141.2;PLN;10;2;3;8
4899888817468;S8907030;100;270.53;PLN;50;2;3;8
8001011282999;S71022378;100;195.83;PLN;8;2;3;8
4000885582215;S71022734;100;518.89;PLN;5;2;3;8
4899888817543;S8907052;100;314.41;PLN;50;2;3;8
4053423257274;S71020337;100;555.36;PLN;25;2;3;8
8436603198134;S64194180;100;282.39;PLN;2;2;3;8
8445484567915;S2460294;100;110.37;PLN;10;2;3;8
8445402691883;S9919401;100;1164.8;PLN;5;2;3;8
8445402691975;S9919397;100;1033.1;PLN;10;2;3;8
8033280490140;S7930359;100;422.91;PLN;9;2;3;8
0887791196767;S64149700;100;115.71;PLN;10;2;3;8
4899888815440;S2240436;100;288.84;PLN;50;2;3;8
5715571507036;S71022192;100;323.3;PLN;10;2;3;8
8413887342347;S7928673;100;68.57;PLN;18;2;3;8
8412842631618;S8906991;100;182.11;PLN;50;2;3;8
8412842543041;S8907040;100;395.19;PLN;50;2;3;8
3700092678510;S71021184;100;1580.74;PLN;8;2;3;8
8445484567922;S2460295;100;110.37;PLN;9;2;3;8
8436548248635;S9919193;100;312.93;PLN;10;2;3;8
