ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
8413887280472;PPE-8413887280472;100;18.52;EUR;25;2;3;8
8436603199971;PPE-8436603199971;100;241.62;EUR;2;2;3;8
4899888815471;PPE-4899888815471;100;67.68;EUR;50;2;3;8
8445402691883;PPE-8445402691883;100;258.85;EUR;5;2;3;8
8413887243026;PPE-8413887243026;100;19.95;EUR;10;2;3;8
5715571507036;PPE-5715571507036;100;71.85;EUR;10;2;3;8
3523930110863;PPE-3523930110863;100;70.0;EUR;5;2;3;8
8711252272603;PPE-8711252272603;100;44.11;EUR;5;2;3;8
4053423257274;PPE-4053423257274;100;123.41;EUR;25;2;3;8
8436606906590;PPE-8436606906590;100;19.45;EUR;25;2;3;8
4899888814078;PPE-4899888814078;100;30.87;EUR;50;2;3;8
8033280490065;PPE-8033280490065;100;93.98;EUR;2;2;3;8
8445402691890;PPE-8445402691890;100;250.3;EUR;10;2;3;8
8413887342347;PPE-8413887342347;100;15.24;EUR;16;2;3;8
8412842543065;PPE-8412842543065;100;73.31;EUR;50;2;3;8
8436603199926;PPE-8436603199926;100;235.52;EUR;9;2;3;8
4004625550571;PPE-4004625550571;100;69.08;EUR;2;2;3;8
8033280490225;PPE-8033280490225;100;93.98;EUR;2;2;3;8
4899888812050;PPE-4899888812050;100;81.43;EUR;10;2;3;8
5715571035805;PPE-5715571035805;100;48.33;EUR;9;2;3;8
8436603199940;PPE-8436603199940;100;241.62;EUR;5;2;3;8
4899888792765;PPE-4899888792765;100;114.83;EUR;50;2;3;8
8445402131945;PPE-8445402131945;100;18.58;EUR;9;2;3;8
8008004005870;PPE-8008004005870;100;41.18;EUR;50;2;3;8
8445402691937;PPE-8445402691937;100;241.62;EUR;5;2;3;8
8445402691982;PPE-8445402691982;100;220.72;EUR;10;2;3;8
8719407081131;PPE-8719407081131;100;42.38;EUR;50;2;3;8
8001011282999;PPE-8001011282999;100;43.52;EUR;8;2;3;8
8412688608133;PPE-8412688608133;100;37.54;EUR;50;2;3;8
8421078039099;PPE-8421078039099;100;19.62;EUR;9;2;3;8
8002908468199;PPE-8002908468199;100;18.78;EUR;2;2;3;8
4899888817468;PPE-4899888817468;100;60.12;EUR;50;2;3;8
8033280490164;PPE-8033280490164;100;93.98;EUR;10;2;3;8
8445954142437;PPE-8445954142437;100;31.91;EUR;10;2;3;8
8806095893532;PPE-8806095893532;100;377.86;EUR;2;2;3;8
8445402691920;PPE-8445402691920;100;220.72;EUR;10;2;3;8
8711252172682;PPE-8711252172682;100;64.4;EUR;18;2;3;8
5052847107904;PPE-5052847107904;100;390.36;EUR;2;2;3;8
8445402691913;PPE-8445402691913;100;235.52;EUR;10;2;3;8
8436603198134;PPE-8436603198134;100;62.75;EUR;2;2;3;8
4899888817345;PPE-4899888817345;100;56.51;EUR;50;2;3;8
8412842543072;PPE-8412842543072;100;91.25;EUR;50;2;3;8
3700092608937;PPE-3700092608937;100;325.96;EUR;25;2;3;8
8445484567892;PPE-8445484567892;100;24.53;EUR;2;2;3;8
4015752494164;PPE-4015752494164;100;72.92;EUR;10;2;3;8
