sku,ean,sku_manufacturer,brand,category,title,description,image_1,image_2,image_3,image_4,image_5,product_price_vat_inc,min_quantity,increment,quantity,use_grid,carrier_grid_1,shipping_time_carrier_grid_1,weight,length,width,height,DisplayWeight,volume
S0367615,7640166931898,S0367615,Autres,Bricolage,Orologio Donna Bellevue E.112 (Ø 25 mm),"Se ti piace seguire le ultime tendenze per quanto riguarda moda e accessori, compra <b>Orologio Donna Bellevue E.112 (Ø 25 mm)</b> al miglior prezzo.<br><br><ul><li>Genere: Donna</li><li>Anelli extra: No</li><li>Tipo di orologio: Orologio da polso</li><li>Materiale del cinturino: Stoffa</li><li>Materiale della cassa dell'orologio: Metallo</li><li>Tipo di movimento: Quarzo</li><li>Cristallo: Minerale</li><li>Impermeabilità: 5 atm</li><li>Include: Include confezione della marca</li><li>Tipo di chiusura: Fibbia</li><li>Colore del quadrante: Grigio</li><li>Colore della custodia dell'orologio: Rosa</li><li>Colore del cinturino: Grigio</li><li>Diametro della cassa dell'orologio: Ø 25 mm</li></ul>",https://cdnbigbuy.com/images/7640166931898_00_WBG4.jpg,https://cdnbigbuy.com/images/63976_mandatory-watch4.jpg,,,,54.91,1,1,5,1,Generale,5#7,0.4,32.0,19.0,10.0,0.4,6080.0
S3605094,8430852873408,S3605094,Autres,Bricolage,Tela 50 x 3 x 40 cm,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Tela 50 x 3 x 40 cm</b> al miglior prezzo.<br><br><ul><li>Tipo: Tela</li><li>Unità: 1 Unità</li><li>Informazioni importanti: Disegni assortiti inviati in modo aleatorio a seconda della disponibilità in magazzino</li><li>Dimensioni appross.: 50 x 3 x 40 cm</li></ul>",https://cdnbigbuy.com/images/8430852873408_00_WBG3.jpg,,,,,6.15,1,1,1,1,Generale,5#7,0.79,40.0,50.0,3.0,0.79,6000.0
S4310267,8412688548996,S4310267,Autres,Bricolage,Borsa Benetton Pink Rosa 40 x 31 x 17 cm,"I bambini meritano il meglio, per questo ti presentiamo <b>Borsa Benetton Pink Rosa 40 x 31 x 17 cm</b>, ideale per coloro che cercano prodotti di qualità per i più piccoli! Scopri <b>Benetton</b> e altre marche e brevetti ai migliori prezzi!<br><br><ul><li>Tipo: Borsa</li><li>Genere: Per ragazzi</li><li>Colore: Rosa</li><li>Caratteristiche: <ul><li>Nastro regolabile</li><li>Manico superiore</li></ul></li><li>Composizione: Poliestere 600D</li><li>Tipo di chiusura: Cerniera</li><li>Include: Tasca interna</li><li>Compartimenti: <ul><li>Tasca frontale con cerniera x 2</li><li>Scompartimento per pc portatile (fino a 14,1"")</li></ul></li><li>Dimensioni appross.: 40 x 31 x 17 cm</li></ul>",https://cdnbigbuy.com/images/8412688548996_S4310267_P10.jpg,https://cdnbigbuy.com/images/8412688548996_S4310267_P00.jpg,https://cdnbigbuy.com/images/8412688548996_S4310267_P20.jpg,https://cdnbigbuy.com/images/8412688548996_S4310267_P30.jpg,,25.19,1,1,50,1,Generale,5#7,0.57,3.0,40.0,31.0,0.57,3720.0
M0404139,5902024651389,M0404139,Autres,Bricolage,Baby doll Chilirose Nero XL,"Se stai pensando di rinnovare il tuo armadio, compra <b>Baby doll Chilirose Nero XL</b> e altri <b>prodotti Chilirose</b>! La migliore qualità al miglior prezzo è già a portata di mano!<br><br><ul><li>Colore: Nero</li><li>Taglia: XL</li><li>Informazioni importanti: Garantiamo la massima discrezione e riservatezza nell'invio. Nessuno, tranne te, sarà a conoscenza del contenuto del pacco.</li><li>Tipo: Erotico</li></ul>",https://cdnbigbuy.com/images/M0404139_1722949882-no-background0.jpg,https://cdnbigbuy.com/images/5902024651389_M0404139_P00.jpg,https://cdnbigbuy.com/images/5902024651389_M0404139_P10.jpg,https://cdnbigbuy.com/images/5902024651389_M0404139_P20.jpg,,24.29,1,1,10,1,Generale,5#7,0.4,25.0,5.0,15.0,0.4,1875.0
S3632898,8430852927675,S3632898,Autres,Bricolage,Bagaglio a Mano HT-017-N Verde 55 x 35 x 20 cm Righe,Ti piace essere alla moda e sei un amante degli accessori? Ti presentiamo <b>Bagaglio a Mano HT-017-N Verde 55 x 35 x 20 cm Righe</b> e una vasta gamma di borse e portafogli per essere sempre all'avanguardia!<br><br><ul><li>Tipo: Valigia</li><li>Design: Righe</li><li>Dimensioni appross.: 55 x 35 x 20 cm</li><li>Colore: Verde</li><li>Materiale: ABS</li></ul>,https://cdnbigbuy.com/images/8430852927675_S3632898_P00.jpg,https://cdnbigbuy.com/images/8430852927675_S3632898_P10.jpg,https://cdnbigbuy.com/images/8430852927675_S3632898_P20.jpg,https://cdnbigbuy.com/images/8430852927675_S3632898_P30.jpg,,38.46,1,1,50,1,Generale,5#7,3.0,23.0,38.5,57.0,3.0,50473.5
S7903675,8425998989366,S7903675,Autres,Bricolage,"Lampadina LED EDM 98936 E 5,5 W 6 W 60 W B15D 700 lm Ø 1,7 x 5,7 cm (6400 K)","Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Lampadina LED EDM 98936 E 5,5 W 6 W 60 W B15D 700 lm Ø 1,7 x 5,7 cm (6400 K)</b> al miglior prezzo.<br><br><ul><li>Temperatura di colore: 6400 K</li><li>Tipo: Lampadina LED</li><li>Classificazione energetica: E</li><li>Flusso luminoso: 700 lm</li><li>Angolo: 360º</li><li>Intervallo di circa: 25000 h</li><li>Voltaggio: 230 V</li><li>Tappo: B15D</li><li>Tipo di luce: Luce fredda</li><li>Potenza: <ul><li>5,5 W</li><li>6 W</li><li>60 W</li></ul></li><li>Durata: 25000 h</li><li>Dimensioni appross.: Ø 1,7 x 5,7 cm</li><li>Caratteristiche: Luce LED</li><li>Fonte di Alimentazione: AC</li></ul>",https://cdnbigbuy.com/images/S7903675_3674_1707487425-cropped5.jpg,https://cdnbigbuy.com/images/S7903675_3674_1707487425-cropped_icon5.jpg,https://cdnbigbuy.com/images/8425998989366_S7903675_P05.jpg,https://cdnbigbuy.com/images/8425998989366_S7903675_P15.jpg,,11.39,1,1,50,1,Generale,5#7,0.7,2.5,2.5,6.5,0.7,40.62
S0741918,8445484480559,S0741918,Autres,Bricolage,Scarpe Sportive per Bambini Spider-Man,Mettiti in forma e scopri le ultime novità del settore per fare sport con le migliori garanzie! Compra <b>Scarpe Sportive per Bambini Spider-Man</b> al miglior prezzo e goditi una vita salutare!<br><br><ul><li>Tipo: Scarpe Sportive per Bambini</li><li>Materiale: <ul><li>Poliestere</li><li>Poliuretano</li><li>TPR</li></ul></li><li>Genere: Per bambini</li></ul>,https://cdnbigbuy.com/images/8445484480559_S0741918_P00.jpg,https://cdnbigbuy.com/images/8445484480559_S0741918_P20.jpg,https://cdnbigbuy.com/images/8445484480559_S0741918_P30.jpg,https://cdnbigbuy.com/images/8445484480559_S0741918_P40.jpg,,30.26,1,1,22,1,Generale,5#7,0.62,19.76,26.8,11.73,0.62,6211.83
S0459371,8420738314767,S0459371,Autres,Bricolage,Faretto LED Silver Electronics SANZ D (6500 K),"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Faretto LED Silver Electronics SANZ D (6500 K)</b> al miglior prezzo.<br><br><ul><li>Tipo: Lampadina LED</li><li>Colore: Nero</li><li>Materiale: Alluminio</li><li>Classificazione energetica: D</li><li>Tecnologia: LED</li><li>Classificazione IP: IP65</li><li>Protezione: IP65</li><li>Voltaggio: 220-240 V</li><li>Temperatura di colore: 6500 K</li><li>Tipo di luce: Luce fredda</li></ul>",https://cdnbigbuy.com/images/8420738314767_I00.jpg,https://cdnbigbuy.com/images/8420738314767_I20.jpg,,,,38.86,1,1,10,1,Generale,5#7,0.37,24.9,24.0,17.98,0.37,10744.85
S77195035,3700992530130,S77195035,Autres,Bricolage,Protettore Schermo per Cellulare Mobilis 036302,"Se sei un appassionato d'<b>informatica ed elettronica</b>, ti piace stare al passo con la più recente tecnologia senza lasciarti sfuggire nessun dettaglio, acquista <b>Protettore Schermo per Cellulare Mobilis 036302</b> al miglior prezzo.<br><br><ul><li>Tipo: <ul><li>Proteggi Schermo</li><li>Supporto da Parete</li><li>Protettore Schermo per Cellulare</li></ul></li><li>Colore: <ul><li>Trasparente</li><li>Multicolore</li></ul></li><li>Durezza: 5H</li><li>Unità: 1 Unità</li><li>Compatibile: ZEBRA TC22 - TC27</li><li>Caratteristiche: Protezione antigraffio</li><li>Materiale: Plastica</li></ul>",https://cdnbigbuy.com/images/818873260.jpg,https://cdnbigbuy.com/images/818873240.jpg,https://cdnbigbuy.com/images/818873250.jpg,,,13.15,1,1,25,1,Generale,5#7,0.04,19.0,9.0,2.0,0.04,342.0
S7733637,0065030833882,S7733637,Autres,Bricolage,Cavo di Rete Rigido UTP Categoria 6 Startech C6ASPAT10BL 3 m Nero Azzurro,"Se sei un appassionato d'<b>informatica ed elettronica</b>, ti piace stare al passo con la più recente tecnologia senza lasciarti sfuggire nessun dettaglio, acquista <b>Cavo di Rete Rigido UTP Categoria 6 Startech C6ASPAT10BL 3 m Nero Azzurro</b> al miglior prezzo.<br><br><ul><li>Tipo: <ul><li>Cavo di Rete</li><li>Maschio</li><li>Cat6a</li></ul></li><li>Colore: <ul><li>Azzurro</li><li>Nero</li></ul></li><li>Connessioni: RJ45</li><li>Lunghezza del cavo: 3 m</li><li>Materiale: <ul><li>PVC</li><li>Rame</li></ul></li><li>Materiale conduttivo: Rame</li><li>Caratteristiche: Plug and play</li><li>Certificato: RoHS</li><li>Scudo: U/UTP (UTP)</li></ul>",https://cdnbigbuy.com/images/0065030833882_I01.jpg,,,,,20.9,1,1,2,1,Generale,5#7,0.14,1.5,20.0,19.0,0.14,570.0
S0367551,7640166932314,S0367551,Autres,Bricolage,Orologio Uomo Bellevue B.60 (Ø 40 mm),"Se ti piace seguire le ultime tendenze per quanto riguarda moda e accessori, compra <b>Orologio Uomo Bellevue B.60 (Ø 40 mm)</b> al miglior prezzo.<br><br><ul><li>Genere: Uomo</li><li>Anelli extra: No</li><li>Tipo di orologio: Orologio da polso</li><li>Materiale del cinturino: Ecopelle</li><li>Materiale della cassa dell'orologio: Metallo</li><li>Tipo di movimento: Quarzo</li><li>Cristallo: Minerale</li><li>Impermeabilità: 5 atm</li><li>Include: Include confezione della marca</li><li>Tipo di chiusura: Fibbia</li><li>Colore del quadrante: Bianco</li><li>Colore della custodia dell'orologio: Rosa</li><li>Colore del cinturino: Nero</li><li>Diametro della cassa dell'orologio: Ø 40 mm</li></ul>",https://cdnbigbuy.com/images/7640166932314_00_WBG2.jpg,https://cdnbigbuy.com/images/63912_mandatory-watch2.jpg,,,,44.49,1,1,2,1,Generale,5#7,0.4,32.0,19.0,10.0,0.4,6080.0
S5704300,8435501012184,S5704300,Autres,Bricolage,Poltrona da Ufficio Caudete Piqueras y Crespo BBALI13 Blu cielo,Torna in ufficio senza dimenticarti di nulla! Compra <b>Poltrona da Ufficio Caudete Piqueras y Crespo BBALI13 Blu cielo</b> e sarai l'invidia dei tuoi colleghi!<br><br><ul><li>Colore: Blu cielo</li><li>Larghezza totale: 61 cm</li><li>Altezza minima del sedile: 46 cm</li><li>Altezza massima del sedile: 54 cm</li><li>Pistone: Gas</li><li>Materiale delle ruote: Gomma</li><li>Peso circa: 18 kg</li><li>Certificato: Senza certificato</li><li>Finitura: Stoffa</li><li>Alto: 100 cm</li><li>Caratteristiche: <ul><li>Oscillante</li><li>Braccioli fisso</li></ul></li><li>Larghezza: 53 cm</li><li>Ore d'uso giornaliere consigliate: 8 h</li></ul>,https://cdnbigbuy.com/images/8435501012184_S5704300_P01.jpg,,,,,491.1,1,1,2,1,Generale,5#7,18.68,74.26,54.38,98.94,18.68,399545.33
S0393170,7610522819146,S0393170,Autres,Bricolage,Orologio Unisex Swatch YVS461 (Ø 43 mm),"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Orologio Unisex Swatch YVS461 (Ø 43 mm)</b>!<br><br><ul><li>Anelli extra: No</li><li>Genere: Unisex</li><li>Tipo di orologio: Orologio da polso</li><li>Materiale del cinturino: Plastica</li><li>Tipo di movimento: Quarzo</li><li>Cristallo: Minerale</li><li>Impermeabilità: 3 atm</li><li>Include: Include custodia o copertura del marchio</li><li>Tipo di chiusura: Fibbia</li><li>Colore del quadrante: Nero</li><li>Colore della custodia dell'orologio: Grigio</li><li>Colore del cinturino: Nero</li><li>Diametro della cassa dell'orologio: Ø 43 mm</li></ul>",https://cdnbigbuy.com/images/7610522819146_S0393170_P00.jpg,,,,,171.55,1,1,10,1,Generale,5#7,0.4,32.0,19.0,10.0,0.4,6080.0
S8403308,8422951065891,S8403308,Autres,Bricolage,Raccoglitore ad anelli Carchivo Carpeblock Verde A4,Torna in ufficio senza dimenticarti di nulla! Compra <b>Raccoglitore ad anelli Carchivo Carpeblock Verde A4</b> e sarai l'invidia dei tuoi colleghi!<br><br><ul><li>Tipo: Raccoglitore ad anelli</li><li>Colore: Verde</li><li>Dimensione: A4</li><li>Rilegatura: Rivestito</li><li>Fogli: 100 fogli</li><li>Tipo di chiusura: Gomma</li><li>Anelli: 4 Anelli (35 mm)</li></ul>,https://cdnbigbuy.com/images/S8403308_8422951065891_S8403308_P11.jpg,https://cdnbigbuy.com/images/S8403308_carpeblock-metal1.jpg,,,,16.17,1,1,19,1,Generale,5#7,0.93,5.16,26.49,32.23,0.93,4405.47
S8902409,4899888735908,S8902409,Autres,Bricolage,Picchetto solare da giardino Aktive Plastica 10 x 34 x 10 cm (24 Unità),"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Picchetto solare da giardino Aktive Plastica 10 x 34 x 10 cm (24 Unità)</b> al miglior prezzo.<br><br><ul><li>Tipo: Picchetto solare da giardino</li><li>Classificazione IP: IP44</li><li>Intervallo di circa: 6-8 h</li><li>Fonte di Alimentazione: <ul><li>Luce solare</li><li>Batteria ricaricabile</li></ul></li><li>Tipo di luce: Luce bianca</li><li>Materiale: Plastica</li><li>Unità: 24 Unità</li><li>Illuminazione: LED</li><li>Dimensioni appross.: 10 x 34 x 10 cm</li></ul>",https://cdnbigbuy.com/images/S8902409_P0_icon0.jpg,https://cdnbigbuy.com/images/S8902409_P20.jpg,https://cdnbigbuy.com/images/S8902409_P30.jpg,https://cdnbigbuy.com/images/S8902409_P40.jpg,,68.92,1,1,10,1,Generale,5#7,1.97,43.5,63.0,27.0,1.97,73993.5
