sku,ean,sku_manufacturer,brand,mm_category,title,description,image_1,image_2,image_3,image_4,image_5,product_price_vat_inc,min_quantity,increment,quantity,use_grid,carrier_grid_1,shipping_time_carrier_grid_1,width,width_unit,height,height_unit,length,length_unit,weight,weight_unit,volume,DisplayWeight,Parent_SKU,parent_title
S72132362,7630775772142,S72132362,Autres,20204,Occhiali da sole Donna INVU B2331 56B,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Occhiali da sole Donna INVU B2331 56B</b>!<br><br><ul><li>Genere: Donna</li><li>Protezione: Proteggono al 100% dei raggi UV (UV400)</li><li>Design: Elegante</li><li>Tipo: <ul><li>Occhiali da Sole</li><li>Occhiali da sole Donna</li></ul></li></ul>",https://cdnbigbuy.com/images/7630775772142_S72132362_P00.jpg,https://cdnbigbuy.com/images/7630775772142_S72132362_P10.jpg,https://cdnbigbuy.com/images/7630775772142_S72132362_P20.jpg,,,65.95,1,1,10,1,Generale,5#7,10.0,cm,10.0,cm,10.0,cm,0.3,kg,1000.0,0.3,1252613,Occhiali da sole Donna INVU B2331 56B
S0394925,0197853714328,S0394925,Autres,20204,Borsa a Tracolla Michael Kors KHAI Rosa 17 x 20 x 11 cm,Ti piace essere alla moda e sei un amante degli accessori? Ti presentiamo <b>Borsa a Tracolla Michael Kors KHAI Rosa 17 x 20 x 11 cm</b> e una vasta gamma di borse e portafogli per essere sempre all'avanguardia!<br><br><ul><li>Tipo: Borsa a Tracolla</li><li>Composizione: Nylon</li><li>Colore: Rosa</li><li>Materiale: Riciclato</li><li>Tipo di chiusura: Regolabile</li><li>Include: Include custodia o copertura del marchio</li><li>Dimensioni appross.: 17 x 20 x 11 cm</li></ul>,https://cdnbigbuy.com/images/0197853714328_S0394925_P00.jpg,https://cdnbigbuy.com/images/0197853714328_S0394925_P10.jpg,https://cdnbigbuy.com/images/0197853714328_S0394925_P20.jpg,,,151.02,1,1,1,1,Generale,5#7,10.0,cm,10.0,cm,10.0,cm,0.3,kg,1000.0,0.3,1245310,Borsa a Tracolla Michael Kors KHAI Rosa 17 x 20 x 11 cm
S72130097,0091661580635,S72130097,Autres,20204,Orologio Donna Guess GD CONNOISSEUR,"Se ti piace seguire le ultime tendenze per quanto riguarda moda e accessori, compra <b>Orologio Donna Guess GD CONNOISSEUR</b> al miglior prezzo.<br><br><ul><li>Anelli extra: No</li><li>Tipo di orologio: Orologio da polso</li><li>Genere: Donna</li></ul>",https://cdnbigbuy.com/images/0091661580635_S72130097_P00.jpg,https://cdnbigbuy.com/images/129123_mandatory-watch0.jpg,https://cdnbigbuy.com/images/0091661580635_R40.jpg,https://cdnbigbuy.com/images/0091661580635_R00.jpg,https://cdnbigbuy.com/images/0091661580635_R50.jpg,516.44,1,1,2,1,Generale,5#7,12.4,cm,10.1,cm,14.2,cm,0.3,kg,1778.41,0.3,1243746,Orologio Donna Guess GD CONNOISSEUR
S8907250,4899888823957,S8907250,Autres,20204,Macchina da Cucire giocattolo Colorbaby 19 X 17 X 8 CM (4 Unità),"I bambini meritano il meglio, per questo ti presentiamo <b>Macchina da Cucire giocattolo Colorbaby 19 X 17 X 8 CM (4 Unità)</b>, ideale per coloro che cercano prodotti di qualità per i più piccoli! Scopri <b>Colorbaby</b> e altre marche e brevetti ai migliori prezzi!<br><br><ul><li>Colore: Multicolore</li><li>Include: Accessori</li><li>Materiale: Plastica</li><li>Funzioni: Luce</li><li>Età consigliata: + 3 anni</li><li>Unità: 4 Unità</li><li>Batterie incluse: No</li><li>Tipo di batterie: AA</li><li>Dimensioni appross.: 19 X 17 X 8 CM</li></ul>",https://cdnbigbuy.com/images/s8907250_p0_icon0.jpg,https://cdnbigbuy.com/images/S8907250_P20.jpg,https://cdnbigbuy.com/images/S8907250_P30.jpg,https://cdnbigbuy.com/images/S8907250_P40.jpg,https://cdnbigbuy.com/images/S8907250_P00.jpg,63.1,1,1,50,1,Generale,5#7,42.5,cm,24.0,cm,28.0,cm,2.2,kg,28560.0,2.2,1250127,Macchina da Cucire giocattolo Colorbaby 19 X 17 X 8 CM (4 Unità)
S05128465,8429420252295,S05128465,Autres,20204,Coppetta Mestruale Isdin ISDIN WOMAN (Dermocosmesi) (Parafarmacia),"<p>Se cerchi il meglio per la tua <b>igiene intima</b> ai migliori prezzi, <b>Coppetta Mestruale Isdin ISDIN WOMAN (Dermocosmesi) (Parafarmacia)</b> è ciò di cui hai bisogno!</p><br><br><p>Il <b>ISDIN WOMAN</b> del rinomato marchio Isdin è un <b>prodotto dermocosmetico</b> appositamente formulato per la cura intima femminile, noto per la sua origine in <b>Spagna</b> e il suo focus sulla salute vaginale. Si presenta sotto forma di <b>ovuli vaginali</b> con una capacità di <b>7 unità</b>, progettati per facilitare l’applicazione e garantire una somministrazione locale precisa. Questo prodotto unisce l’efficacia della dermocosmetica con l’innovazione parafarmaceutica tipica di Isdin, offrendo una cura completa adattata alle esigenze specifiche della donna. Tra i suoi componenti spicca il <b>ialuronato di sodio</b>, una sostanza nota per le sue proprietà idratanti e riparatrici, che contribuisce a mantenere l’equilibrio e l’idratazione naturale della mucosa vaginale, favorendo un ambiente ottimale per la salute intima. ISDIN WOMAN non contiene protezione solare né altri additivi, concentrandosi sulla sua funzione specifica di cura e mantenimento dermico. Complessivamente, questo prodotto offre una soluzione efficace e affidabile per donne che cercano un trattamento dermocosmetico intimo sviluppato secondo gli standard di qualità e sicurezza di Isdin, garantendo maggiore benessere e comfort nella routine quotidiana.</p><br><br><ul><li>Tipo: <ul><li>Dermocosmesi</li><li>Parafarmacia</li></ul></li><li>Genere: Donna</li></ul>",https://cdnbigbuy.com/images/8429420252295_S05128465_P00.jpg,https://cdnbigbuy.com/images/8429420252295_R10.jpg,https://cdnbigbuy.com/images/8429420252295_R20.jpg,https://cdnbigbuy.com/images/8429420252295_R00.jpg,,22.1,1,1,16,1,Generale,5#7,6.3,cm,12.5,cm,2.7,cm,0.03,kg,212.62,0.03,1124564,Coppetta Mestruale Isdin ISDIN WOMAN (Dermocosmesi) (Parafarmacia)
S72132263,0190605363706,S72132263,Autres,20204,Occhiali da sole Uomo Fila SFI209 53722Y,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Occhiali da sole Uomo Fila SFI209 53722Y</b>!<br><br><ul><li>Tipo: Occhiali da sole Uomo</li><li>Protezione: Proteggono al 100% dei raggi UV (UV400)</li><li>Genere: Uomo</li></ul>",https://cdnbigbuy.com/images/0190605363706_S72132263_P00.jpg,https://cdnbigbuy.com/images/0190605363706_S72132263_P20.jpg,https://cdnbigbuy.com/images/0190605363706_S72132263_P10.jpg,,,90.5,1,1,5,1,Generale,5#7,10.0,cm,10.1,cm,10.0,cm,0.28,kg,1010.0,0.28,1251948,Occhiali da sole Uomo Fila SFI209 53722Y
S64185138,0197779507165,S64185138,Autres,20204,Borsa a Tracolla Under Armour Essential Lite,"Se stai pensando di rinnovare il tuo armadio, compra <b>Borsa a Tracolla Under Armour Essential Lite</b> e altri <b>prodotti Under Armour</b>! La migliore qualità al miglior prezzo è già a portata di mano!<br><br><p>La <b>borsa a tracolla Essential Lite</b> di <b>Under Armour</b> è un accessorio versatile progettato per utenti adulti di qualsiasi genere che cercano funzionalità e resistenza in un unico prodotto. Questa <b>borsa a tracolla beige</b> unisce un design unisex a materiali di alta qualità, inclusa una finitura idrorepellente che protegge i tuoi oggetti in condizioni di umidità o pioggia leggera, facilitando il trasporto sicuro degli elementi essenziali. Il formato compatto e comodo permette di portarla a tracolla o sulla spalla, ottimizzando la mobilità e l’accesso rapido ai tuoi effetti personali. La struttura leggera ed equilibrata ne facilita l’uso quotidiano, sia in ambienti urbani, sportivi o ricreativi, assicurando inoltre un’organizzazione efficace grazie a scomparti studiati per mantenere ordinati i tuoi oggetti. Under Armour, nota per l’innovazione negli accessori sportivi e urbani, posiziona il modello <b>Essential Lite</b> come un’opzione pratica e durevole nel suo catalogo di borse, adatta a chi cerca un equilibrio tra design funzionale, protezione e comfort. Questa borsa a tracolla rappresenta una soluzione affidabile ed elegante per trasportare i tuoi elementi indispensabili con sicurezza e stile sobrio.</p><br><br><ul><li>Tipo: Borsa a Tracolla</li><li>Colore: Beige</li><li>Genere: Unisex</li><li>Età consigliata: Adulti</li></ul>",https://cdnbigbuy.com/images/0197779507165_S64185138_P00.jpg,https://cdnbigbuy.com/images/0197779507165_S64185138_P20.jpg,,,,24.22,1,1,5,1,Generale,5#7,22.3,cm,19.1,cm,8.2,cm,0.22,kg,3492.63,0.22,1175164,Borsa a Tracolla Under Armour Essential Lite
S0395172,0889214599544,S0395172,Autres,20204,Occhiali da sole Uomo Guess GO00061-0093P,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Occhiali da sole Uomo Guess GO00061-0093P</b>!<br><br><ul><li>Tipo: Occhiali da sole Uomo</li><li>Protezione: Proteggono al 100% dei raggi UV (UV400)</li><li>Genere: Uomo</li><li>Materiale delle lenti: Policarbonato</li><li>Colore: <ul><li>Verde</li><li>Multicolore</li></ul></li><li>Materiale: Resina</li><li>Include: Include custodia o copertura del marchio</li></ul>",https://cdnbigbuy.com/images/0889214599544_S0395172_P00.jpg,,,,,43.4,1,1,50,1,Generale,5#7,10.0,cm,10.0,cm,10.0,cm,0.3,kg,1000.0,0.3,1251813,Occhiali da sole Uomo Guess GO00061-0093P
S05127300,0729238217720,S05127300,Autres,20204,Set da Trucco Shiseido SYNCHRO SKIN,<p><b>Set da Trucco Shiseido SYNCHRO SKIN</b> &egrave; ci&ograve; che ti serve per esaltare al massimo il tuo fascino! Prova la qualit&agrave; dei <b>prodotti</b>&nbsp;<b>Shiseido&nbsp;</b><b>100% originali</b> e lascia che i migliori professionisti valorizzino la tua bellezza.</p>'<br><br><ul><li>Colore: Nº 260</li><li>Caratteristiche: Resistente all'acqua</li><li>Genere: Unisex</li><li>Ingredienti: <ul><li>Polyquaternium-51</li><li>Silica</li><li>Sodium citrate</li><li>Sorbitan sesquiisostearate</li><li>Stearic acid</li><li>Titanium dioxide</li><li>Tocopherol</li><li>Trimethylsiloxysilicate</li><li>Aluminum hydroxide</li><li>Bht</li><li>Butylene glycol</li><li>Citric acid</li><li>Dimethicone</li><li>Dimethicone crosspolymer</li><li>Dimethicone/vinyl dimethicone crosspolymer</li><li>Diphenylsiloxy phenyl trimethicone</li><li>Disteardimonium hectorite</li><li>Ethylhexyl methoxycinnamate</li><li>Isododecane</li><li>Isopropyl myristate</li><li>Isostearic acid</li><li>Magnesium stearate</li><li>Peg-10 dimethicone</li><li>Peg/ppg-19/19 dimethicone</li><li>Phenoxyethanol</li><li>Glycerin</li><li>Bis-Butyldimethicone Polyglyceryl-3</li></ul></li><li>Capacità: 30 ml</li></ul>,https://cdnbigbuy.com/images/0729238217720_S05127300_P00.jpg,,,,,45.71,1,1,16,1,Generale,5#7,3.5,cm,12.0,cm,3.5,cm,0.15,kg,147.0,0.15,1251677,Set da Trucco Shiseido SYNCHRO SKIN
S3060032,8424002185541,S3060032,Autres,20204,Pianta Decorativa Home ESPRIT Polietilene,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Pianta Decorativa Home ESPRIT Polietilene</b>!<br><br><ul><li>Tipo: Pianta Decorativa</li><li>Colore: <ul><li>Verde</li><li>Fucsia</li><li>Naturale</li></ul></li><li>Materiale: Polietilene</li></ul>",https://cdnbigbuy.com/images/8424002185541_S3060032_P30.jpg,https://cdnbigbuy.com/images/8424002185541_S3060032_P20.jpg,https://cdnbigbuy.com/images/8424002185541_S3060032_P10.jpg,https://cdnbigbuy.com/images/8424002185541_S3060032_P00.jpg,,125.62,1,1,10,1,Generale,5#7,24.0,cm,24.0,cm,105.0,cm,11.8,kg,60480.0,11.8,1250845,Pianta Decorativa Home ESPRIT Polietilene
