"Id Booking";Datum;Uhrzeit;Buchungstext;Bestellnummer;Betrag;Saldo;id_order_unit
1221748127;2025-07-17;15:24:48;"Goods receipt order MW54ZTQ/314567984688949 Dahle Messerkopf 637 grau, für 440-448 und 472";MW54ZTQ;51,15;51,15;314567984688949
1221748129;2025-07-17;15:24:48;"Net commission order MW54ZTQ/314567984688949 Dahle Messerkopf 637 grau, für 440-448 und 472";MW54ZTQ;-3,58;47,57;314567984688949
1223441462;2025-07-21;17:47:29;"Goods receipt order MH67QUQ/314567984931754 Leifheit Set CLEAN TWIST M Ergo Mobile";MH67QUQ;113,88;161,45;314567984931754
1223441463;2025-07-21;17:47:29;"Net commission order MH67QUQ/314567984931754 Leifheit Set CLEAN TWIST M Ergo Mobile";MH67QUQ;-15,94;145,51;314567984931754
1224065001;2025-07-22;23:41:31;"Cancel net commission order MH67QUQ/314567984931754 Leifheit Set CLEAN TWIST M Ergo Mobile";MH67QUQ;15,94;161,45;314567984931754
1224065002;2025-07-22;23:41:31;"Cancel goods receipt order MH67QUQ/314567984931754 Leifheit Set CLEAN TWIST M Ergo Mobile";MH67QUQ;-113,88;47,57;314567984931754
1231355185;2025-08-07;16:23:32;"Release order MW54ZTQ/314567984688949 Dahle Messerkopf 637 grau, für 440-448 und 472";MW54ZTQ;-47,57;0,00;314567984688949
1233997632;2025-08-13;18:55:17;"Goods receipt order MUBH46Q/314567986393656 Xiaomi Smart Scale S200, Personenwaage, hochpräzisem Sensor, 4 Gesu...";MUBH46Q;26,66;26,66;314567986393656
1233997633;2025-08-13;18:55:17;"Net commission order MUBH46Q/314567986393656 Xiaomi Smart Scale S200, Personenwaage, hochpräzisem Sensor, 4 Ges...";MUBH46Q;-3,47;23,19;314567986393656
1238832792;2025-08-25;12:52:24;"Goods receipt order MRFEX6Q/314567987072760 Nike Rucksäcke Air Jordan, 9B050323";MRFEX6Q;47,66;70,85;314567987072760
1238832793;2025-08-25;12:52:24;"Net commission order MRFEX6Q/314567987072760 Nike Rucksäcke Air Jordan, 9B050323";MRFEX6Q;-6,67;64,18;314567987072760
1239062009;2025-08-25;21:40:00;"Goods receipt order MPFLY6Q/314567987105904 adidas Classic Bos Backpack HR9809";MPFLY6Q;39,29;103,47;314567987105904
1239062010;2025-08-25;21:40:00;"Net commission order MPFLY6Q/314567987105904 adidas Classic Bos Backpack HR9809";MPFLY6Q;-5,50;97,97;314567987105904
1239621320;2025-08-27;09:48:46;"Cancel net commission order MPFLY6Q/314567987105904 adidas Classic Bos Backpack HR9809";MPFLY6Q;5,50;103,47;314567987105904
1239621321;2025-08-27;09:48:46;"Cancel goods receipt order MPFLY6Q/314567987105904 adidas Classic Bos Backpack HR9809";MPFLY6Q;-39,29;64,18;314567987105904
1240161238;2025-08-28;12:52:17;"Goods receipt order MZ6QD7Q/314567987243414 Mobilis PROTECH Case Honeywell EDA57- EDA56-EDA52 - Softbag";MZ6QD7Q;38,43;102,61;314567987243414
1240161239;2025-08-28;12:52:17;"Net commission order MZ6QD7Q/314567987243414 Mobilis PROTECH Case Honeywell EDA57- EDA56-EDA52 - Softbag";MZ6QD7Q;-5,00;97,61;314567987243414
1240256272;2025-08-28;15:47:05;"Goods receipt order MQYFD7Q/314567987253482 AXIS Q6032-E Pendant Kit - Hngemontage-Kit fr Auenkamera - wei - fr...";MQYFD7Q;93,58;191,19;314567987253482
1240256273;2025-08-28;15:47:05;"Net commission order MQYFD7Q/314567987253482 AXIS Q6032-E Pendant Kit - Hngemontage-Kit fr Auenkamera - wei - f...";MQYFD7Q;-6,55;184,64;314567987253482
1240498363;2025-08-29;09:00:13;"Goods receipt order M9SY37Q/314567987292348 ROUSSEAU Duschsäule mit mechanischem Mischbatterie Retro - Chrom";M9SY37Q;178,16;362,80;314567987292348
1240498364;2025-08-29;09:00:13;"Net commission order M9SY37Q/314567987292348 ROUSSEAU Duschsäule mit mechanischem Mischbatterie Retro - Chrom";M9SY37Q;-24,94;337,86;314567987292348
1241034486;2025-08-30;14:47:21;"Goods receipt order M117Q7Q/314567987366882 Quid Sweet Grey Abnehmbare lackierte Stahlform 28x10cm";M117Q7Q;17,70;355,56;314567987366882
1241034487;2025-08-30;14:47:21;"Net commission order M117Q7Q/314567987366882 Quid Sweet Grey Abnehmbare lackierte Stahlform 28x10cm";M117Q7Q;-2,48;353,08;314567987366882
1242872497;2025-09-03;15:06:28;"Goods receipt order MGQBF7Q/314567987622272 Bodum Kaffeebereiter Glas Silber 1,5l 1932-16";MGQBF7Q;85,54;438,62;314567987622272
1242872498;2025-09-03;15:06:28;"Net commission order MGQBF7Q/314567987622272 Bodum Kaffeebereiter Glas Silber 1,5l 1932-16";MGQBF7Q;-11,98;426,64;314567987622272
1243317437;2025-09-04;14:51:15;"Goods receipt order MAFQG7Q/314567987680265 Molto Marienkäfer-nachziehspielzeug Mit Geräuschen 23 Cm One Size";MAFQG7Q;24,56;451,20;314567987680265
1243317438;2025-09-04;14:51:15;"Net commission order MAFQG7Q/314567987680265 Molto Marienkäfer-nachziehspielzeug Mit Geräuschen 23 Cm One Size";MAFQG7Q;-3,19;448,01;314567987680265
1243453361;2025-09-04;20:52:02;"Goods receipt order MKZYG7Q/314567987700392 Sonic Regenschirm ? 71 cm Leichter Kuppel-Schirm für Regenwetter";MKZYG7Q;16,96;464,97;314567987700392
1243453362;2025-09-04;20:52:02;"Net commission order MKZYG7Q/314567987700392 Sonic Regenschirm ? 71 cm Leichter Kuppel-Schirm für Regenwetter";MKZYG7Q;-2,37;462,60;314567987700392
1244331313;2025-09-07;13:26:35;"Goods receipt order M5Q6R7Q/314567987832409 Doppel-Federtasche Cars Racing Marineblau 12.5 x 19.5 x 4 cm Doppel...";M5Q6R7Q;18,42;481,02;314567987832409
1244331314;2025-09-07;13:26:35;"Net commission order M5Q6R7Q/314567987832409 Doppel-Federtasche Cars Racing Marineblau 12.5 x 19.5 x 4 cm Doppe...";M5Q6R7Q;-2,58;478,44;314567987832409
1244496908;2025-09-07;21:59:54;"Goods receipt order MD6FW7Q/314567987863378 Tangit 34949 Pvc-kleber 250g Durchsichtig Durchsichtig One Size";MD6FW7Q;28,93;507,37;314567987863378
1244496909;2025-09-07;21:59:54;"Net commission order MD6FW7Q/314567987863378 Tangit 34949 Pvc-kleber 250g Durchsichtig Durchsichtig One Size";MD6FW7Q;-2,89;504,48;314567987863378
1244502263;2025-09-07;22:18:35;"Cancel net commission order MD6FW7Q/314567987863378 Tangit 34949 Pvc-kleber 250g Durchsichtig Durchsichtig One ...";MD6FW7Q;2,89;507,37;314567987863378
1244502264;2025-09-07;22:18:35;"Cancel goods receipt order MD6FW7Q/314567987863378 Tangit 34949 Pvc-kleber 250g Durchsichtig Durchsichtig One Size";MD6FW7Q;-28,93;478,44;314567987863378
1245187808;2025-09-09;13:22:00;"Release order MUBH46Q/314567986393656 Xiaomi Smart Scale S200, Personenwaage, hochpräzisem Sensor, 4 Gesundheit...";MUBH46Q;-23,19;455,25;314567986393656
1247106758;2025-09-14;14:19:51;"Goods receipt order ME675FQ/314567988217825 Swatch Blue Boat Again Herrenuhr";ME675FQ;137,80;593,05;314567988217825
1247106759;2025-09-14;14:19:51;"Net commission order ME675FQ/314567988217825 Swatch Blue Boat Again Herrenuhr";ME675FQ;-19,29;573,76;314567988217825
1247533618;2025-09-15;12:58:38;"Goods receipt order M75LCFQ/314567988279270 Koffer für die Kabine Snoopy snoopy 34.5 x 55 x 20 cm Minze 20''";M75LCFQ;85,53;659,29;314567988279270
1247533619;2025-09-15;12:58:38;"Net commission order M75LCFQ/314567988279270 Koffer für die Kabine Snoopy snoopy 34.5 x 55 x 20 cm Minze 20''";M75LCFQ;-11,97;647,32;314567988279270
1248052620;2025-09-16;13:48:58;"Goods receipt order MCEZUFQ/314567988348649 InnovaGoods Elektrische Wärmflasche";MCEZUFQ;20,37;667,69;314567988348649
1248052621;2025-09-16;13:48:58;"Net commission order MCEZUFQ/314567988348649 InnovaGoods Elektrische Wärmflasche";MCEZUFQ;-2,65;665,04;314567988348649
1248119804;2025-09-16;15:49:36;"Goods receipt order M4XPEFQ/314567988356046 loft urban rund rollen 50cm theaterrot";M4XPEFQ;83,07;748,11;314567988356046
