"Id Booking";Datum;Uhrzeit;Buchungstext;Bestellnummer;Betrag;Saldo;id_order_unit
1216713393;2025-07-06;16:28:32;"Goods receipt order M5Q8DTQ/314567984015067 Marbueno sklápěcí hliníkový slunečník sortiment pláž a bazén 51X54X...";M5Q8DTQ;505,36;1045,74;314567984015067
1216713394;2025-07-06;16:28:32;"Net commission order M5Q8DTQ/314567984015067 Marbueno sklápěcí hliníkový slunečník sortiment pláž a bazén 51X54...";M5Q8DTQ;-70,75;974,99;314567984015067
1217173502;2025-07-07;13:57:07;"Goods receipt order MWXRPTQ/314567984074566 Lexibook Budík s 3D figurkou Super Mario";MWXRPTQ;1138,98;2113,97;314567984074566
1217173503;2025-07-07;13:57:07;"Net commission order MWXRPTQ/314567984074566 Lexibook Budík s 3D figurkou Super Mario";MWXRPTQ;-159,46;1954,51;314567984074566
1221032798;2025-07-16;06:25:09;"Goods receipt order MP1QWTQ/314567984606136 Bestway Duschzelt Station Port 110 x 110 x 190 cm";MP1QWTQ;1382,24;3336,75;314567984606136
1221032799;2025-07-16;06:25:09;"Net commission order MP1QWTQ/314567984606136 Bestway Duschzelt Station Port 110 x 110 x 190 cm";MP1QWTQ;-193,51;3143,24;314567984606136
1221133389;2025-07-16;10:51:53;"Goods receipt order MX1LWTQ/314567984617120 iggual IRON-10W, Elektronická zásuvka na peníze, Kov, Bílá, CE, 380...";MX1LWTQ;1110,05;4253,29;314567984617120
1221133390;2025-07-16;10:51:53;"Net commission order MX1LWTQ/314567984617120 iggual IRON-10W, Elektronická zásuvka na peníze, Kov, Bílá, CE, 38...";MX1LWTQ;-155,41;4097,88;314567984617120
1221162617;2025-07-16;11:33:59;"Cancel net commission order MX1LWTQ/314567984617120 iggual IRON-10W, Elektronická zásuvka na peníze, Kov, Bílá,...";MX1LWTQ;155,41;4253,29;314567984617120
1221162618;2025-07-16;11:33:59;"Cancel goods receipt order MX1LWTQ/314567984617120 iggual IRON-10W, Elektronická zásuvka na peníze, Kov, Bílá, ...";MX1LWTQ;-1110,05;3143,24;314567984617120
1221624609;2025-07-17;11:51:48;"Release order MZYPXBQ/314567983027028 Marbueno sklápěcí hliníkový slunečník sortiment pláž a bazén 51X54X37cm 1...";MZYPXBQ;-540,38;2602,86;314567983027028
1221632340;2025-07-17;11:57:41;"Goods receipt order MEZSYTQ/314567984677236 Rozdělovač Romimex přírodní teak 60 x 180 x 15 cm";MEZSYTQ;5595,45;8198,31;314567984677236
1221632341;2025-07-17;11:57:41;"Net commission order MEZSYTQ/314567984677236 Rozdělovač Romimex přírodní teak 60 x 180 x 15 cm";MEZSYTQ;-727,41;7470,90;314567984677236
1221766035;2025-07-17;15:59:02;"Cancel net commission order MEZSYTQ/314567984677236 Rozdělovač Romimex přírodní teak 60 x 180 x 15 cm";MEZSYTQ;727,41;8198,31;314567984677236
1221766036;2025-07-17;15:59:02;"Cancel goods receipt order MEZSYTQ/314567984677236 Rozdělovač Romimex přírodní teak 60 x 180 x 15 cm";MEZSYTQ;-5595,45;2602,86;314567984677236
1224834076;2025-07-24;15:26:23;"Goods receipt order MHWFEUQ/314567985107955 Tresor Micel CFC09 M13400 Blau Stahl 30 x 24 x 9 cm";MHWFEUQ;1000,30;3603,16;314567985107955
1224834077;2025-07-24;15:26:23;"Net commission order MHWFEUQ/314567985107955 Tresor Micel CFC09 M13400 Blau Stahl 30 x 24 x 9 cm";MHWFEUQ;-70,02;3533,14;314567985107955
