"Id Booking";Datum;Uhrzeit;Buchungstext;Bestellnummer;Betrag;Saldo;id_order_unit
1230209147;2025-08-05;11:53:09;"Freigabe Verkaufserlös zu Bestell-Nr. M4G78TQ/314567984556463 Flash Led Led Sos V16 Dgt Vernetztes Beacon Golde...";M4G78TQ;-41,80;275,76;314567984556463
1230936482;2025-08-06;18:23:26;"Freigabe Verkaufserlös zu Bestell-Nr. MK1TXTQ/314567984640013 Bluey Turnbeutel, Rucksack 42 cm";MK1TXTQ;-9,14;266,62;314567984640013
1231567049;2025-08-08;09:22:25;"Freigabe Verkaufserlös zu Bestell-Nr. MGA7HUQ/314567984732187 Lifetime Air Fensterabdichtung 320cm Für Mobile K...";MGA7HUQ;-22,05;244,57;314567984732187
1232102736;2025-08-09;17:23:19;"Freigabe Verkaufserlös zu Bestell-Nr. MZB14UQ/314567984776527 Absperrventil für Tropfbewässerung Aqua Control 9...";MZB14UQ;-14,45;230,12;314567984776527
1233238090;2025-08-12;11:22:26;"Freigabe Verkaufserlös zu Bestell-Nr. MDA4CUQ/314567985005753 Molto Big Police Rutschauto Weiß 18 Months Weiß 1...";MDA4CUQ;-37,21;192,91;314567985005753
1233461049;2025-08-12;17:52:13;"Freigabe Verkaufserlös zu Bestell-Nr. MSBUPUQ/314567984870940 Dunlop Autositz Organizer mit Getränkehalter - An...";MSBUPUQ;-16,09;176,82;314567984870940
1233730769;2025-08-13;10:51:51;"Freigabe Verkaufserlös zu Bestell-Nr. MKE5DUQ/314567984811642 Star Wars Licht-Regenschirm Ø 97 cm Regenschirm B...";MKE5DUQ;-24,29;152,53;314567984811642
1234051918;2025-08-13;21:27:42;"Wareneingang zu Bestell-Nr. M5PC46Q/314567986403510 Entfettungsmittel KH7 5 L Karaffe";M5PC46Q;39,67;192,20;314567986403510
1234051919;2025-08-13;21:27:42;"Netto Provision zu Bestell-Nr. M5PC46Q/314567986403510 Entfettungsmittel KH7 5 L Karaffe";M5PC46Q;-5,55;186,65;314567986403510
1234583677;2025-08-15;06:44:55;"Wareneingang zu Bestell-Nr. MSUR36Q/314567986474843 Arcoroc Quadro Ice Milchshake Glas, 360ml, Glas, transparen...";MSUR36Q;56,85;243,50;314567986474843
1234583678;2025-08-15;06:44:55;"Netto Provision zu Bestell-Nr. MSUR36Q/314567986474843 Arcoroc Quadro Ice Milchshake Glas, 360ml, Glas, transpa...";MSUR36Q;-7,96;235,54;314567986474843
1234794114;2025-08-15;14:23:38;"Freigabe Verkaufserlös zu Bestell-Nr. MA7S6UQ/314567985139118 Lifetime Kunststoff Klapptisch Camping weiß 122x6...";MA7S6UQ;-65,44;170,10;314567985139118
1235057339;2025-08-16;11:52:06;"Freigabe Verkaufserlös zu Bestell-Nr. M7HKFUQ/314567985198538 Umhängetasche Michael Kors 32F4SJ6C8K-SILVER Grau...";M7HKFUQ;-87,09;83,01;314567985198538
1235272754;2025-08-16;23:26:33;"Wareneingang zu Bestell-Nr. MUZB56Q/314567986575171 Aktentasche Bombata E00362-28 28 X 33 X 5 CM";MUZB56Q;21,69;104,70;314567986575171
1235272755;2025-08-16;23:26:33;"Netto Provision zu Bestell-Nr. MUZB56Q/314567986575171 Aktentasche Bombata E00362-28 28 X 33 X 5 CM";MUZB56Q;-3,04;101,66;314567986575171
1235392882;2025-08-17;13:30:04;"Wareneingang zu Bestell-Nr. MKHDB6Q/314567986596784 Entfettungsmittel KH7 5 L Karaffe";MKHDB6Q;39,67;141,33;314567986596784
1235392883;2025-08-17;13:30:04;"Netto Provision zu Bestell-Nr. MKHDB6Q/314567986596784 Entfettungsmittel KH7 5 L Karaffe";MKHDB6Q;-5,55;135,78;314567986596784
