"Id Booking";Datum;Uhrzeit;Buchungstext;Bestellnummer;Betrag;Saldo;id_order_unit
1236405651;2025-08-19;17:04:49;"Goods receipt order MHCSE6Q/314567986729703 Armoire Alexandra House Living 101 x 160 x 36 cm 4 étagères Industr...";MHCSE6Q;236,02;236,02;314567986729703
1236405652;2025-08-19;17:04:49;"Net commission order MHCSE6Q/314567986729703 Armoire Alexandra House Living 101 x 160 x 36 cm 4 étagères Indust...";MHCSE6Q;-30,68;205,34;314567986729703
1236475704;2025-08-19;20:34:03;"Cancel net commission order MHCSE6Q/314567986729703 Armoire Alexandra House Living 101 x 160 x 36 cm 4 étagères...";MHCSE6Q;30,68;236,02;314567986729703
1236475705;2025-08-19;20:34:03;"Cancel goods receipt order MHCSE6Q/314567986729703 Armoire Alexandra House Living 101 x 160 x 36 cm 4 étagères ...";MHCSE6Q;-236,02;0,00;314567986729703
1246391188;2025-09-12;10:38:43;"Goods receipt order MYHK3FQ/314567988105600 Royal canin chatons stérilisés croquettes pour chatons volaille, ri...";MYHK3FQ;65,85;65,85;314567988105600
1246391189;2025-09-12;10:38:43;"Net commission order MYHK3FQ/314567988105600 Royal canin chatons stérilisés croquettes pour chatons volaille, r...";MYHK3FQ;-9,22;56,63;314567988105600
1247346900;2025-09-15;08:09:37;"Cancel net commission order MYHK3FQ/314567988105600 Royal canin chatons stérilisés croquettes pour chatons vola...";MYHK3FQ;9,22;65,85;314567988105600
1247346902;2025-09-15;08:09:37;"Cancel goods receipt order MYHK3FQ/314567988105600 Royal canin chatons stérilisés croquettes pour chatons volai...";MYHK3FQ;-65,85;0,00;314567988105600
1253592846;2025-09-30;12:46:23;"Goods receipt order MW8DTLQ/314567989131619 Mattel Jurassic World : Indominus Rex, Multicolore (HNT63) MATTEL";MW8DTLQ;78,14;78,14;314567989131619
1253592847;2025-09-30;12:46:23;"Net commission order MW8DTLQ/314567989131619 Mattel Jurassic World : Indominus Rex, Multicolore (HNT63) MATTEL";MW8DTLQ;-10,16;67,98;314567989131619
1259668029;2025-10-14;21:37:28;"Goods receipt order M3Y1UGQ/314567989990568 Verre luminarc pure verre vert verre 750 ml (6 pièces)";M3Y1UGQ;38,87;106,85;314567989990568
