"Id Booking";Datum;Uhrzeit;Buchungstext;Bestellnummer;Betrag;Saldo;id_order_unit
1214326449;2025-07-01;18:33:11;"Goods receipt order M38USCQ/314567983663570 Slnečné okuliare Dunlop Slnečné okuliare Sun Uni";M38USCQ;17,21;45,91;314567983663570
1214326450;2025-07-01;18:33:11;"Net commission order M38USCQ/314567983663570 Slnečné okuliare Dunlop Slnečné okuliare Sun Uni";M38USCQ;-2,41;43,50;314567983663570
1218630395;2025-07-10;13:37:27;"Goods receipt order MHF9UTQ/314567984259880 Elektronický dávkovač pre fľaše na vodu s priemerom ústia ø4-5 cm. edm";MHF9UTQ;22,72;66,22;314567984259880
1218630396;2025-07-10;13:37:27;"Net commission order MHF9UTQ/314567984259880 Elektronický dávkovač pre fľaše na vodu s priemerom ústia ø4-5 cm....";MHF9UTQ;-3,18;63,04;314567984259880
1219679176;2025-07-13;06:26:02;"Goods receipt order M5FFLTQ/314567984413634 Univerzálny držiak na mobilný telefón 3 v 1 Smarloop InnovaGoods";M5FFLTQ;12,11;75,15;314567984413634
1219679177;2025-07-13;06:26:02;"Net commission order M5FFLTQ/314567984413634 Univerzálny držiak na mobilný telefón 3 v 1 Smarloop InnovaGoods";M5FFLTQ;-1,57;73,58;314567984413634
1219707951;2025-07-13;09:58:09;"Cancel net commission order M5FFLTQ/314567984413634 Univerzálny držiak na mobilný telefón 3 v 1 Smarloop Innova...";M5FFLTQ;1,57;75,15;314567984413634
1219707952;2025-07-13;09:58:09;"Cancel goods receipt order M5FFLTQ/314567984413634 Univerzálny držiak na mobilný telefón 3 v 1 Smarloop InnovaG...";M5FFLTQ;-12,11;63,04;314567984413634
1219944246;2025-07-13;20:09:13;"Goods receipt order MCY5STQ/314567984462393 Stôl InnovaGoods, počítačový stôl, pracovný stôl, výškovo nastavite...";MCY5STQ;85,01;148,05;314567984462393
1219944247;2025-07-13;20:09:13;"Net commission order MCY5STQ/314567984462393 Stôl InnovaGoods, počítačový stôl, pracovný stôl, výškovo nastavit...";MCY5STQ;-11,05;137,00;314567984462393
1220229801;2025-07-14;12:18:19;"Goods receipt order M8U7KTQ/314567984498126 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWKXEU, Roz...";M8U7KTQ;819,92;956,92;314567984498126
1220229802;2025-07-14;12:18:19;"Net commission order M8U7KTQ/314567984498126 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWKXEU, Ro...";M8U7KTQ;-106,59;850,33;314567984498126
1220455137;2025-07-14;20:01:57;"Cancel net commission order M8U7KTQ/314567984498126 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWK...";M8U7KTQ;106,59;956,92;314567984498126
1220455138;2025-07-14;20:01:57;"Cancel goods receipt order M8U7KTQ/314567984498126 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWKX...";M8U7KTQ;-819,92;137,00;314567984498126
1220834302;2025-07-15;15:35:09;"Goods receipt order MZ8DRTQ/314567984574294 Obrázok Hasbro";MZ8DRTQ;27,24;164,24;314567984574294
1220834303;2025-07-15;15:35:09;"Net commission order MZ8DRTQ/314567984574294 Obrázok Hasbro";MZ8DRTQ;-3,54;160,70;314567984574294
1221408258;2025-07-16;20:15:41;"Goods receipt order MSPKXTQ/314567984649156 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWKXEU, Roz...";MSPKXTQ;820,40;981,10;314567984649156
1221408259;2025-07-16;20:15:41;"Net commission order MSPKXTQ/314567984649156 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWKXEU, Ro...";MSPKXTQ;-106,65;874,45;314567984649156
1221517465;2025-07-17;08:26:36;"Cancel net commission order MSPKXTQ/314567984649156 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWK...";MSPKXTQ;106,65;981,10;314567984649156
1221517466;2025-07-17;08:26:36;"Cancel goods receipt order MSPKXTQ/314567984649156 Samsung Wind-Free Comfort Next AR12TXFCAWKNEU + AR12TXFCAWKX...";MSPKXTQ;-820,40;160,70;314567984649156
1222055345;2025-07-18;11:23:05;"Release order MAR69CQ/314567983297425 Obrázok Hasbro";MAR69CQ;-28,70;132,00;314567983297425
1222234015;2025-07-18;17:19:12;"Goods receipt order M7531UQ/314567984750067 Dreame RAW6, Súprava príslušenstva, Robotický vysávač, Šedá, Dreame...";M7531UQ;182,47;314,47;314567984750067
1222234016;2025-07-18;17:19:12;"Net commission order M7531UQ/314567984750067 Dreame RAW6, Súprava príslušenstva, Robotický vysávač, Šedá, Dream...";M7531UQ;-25,55;288,92;314567984750067
1222363877;2025-07-19;06:42:22;"Goods receipt order M7KX1UQ/314567984772937 Prsné protézy Pohlavie X";M7KX1UQ;122,31;411,23;314567984772937
1222363878;2025-07-19;06:42:22;"Net commission order M7KX1UQ/314567984772937 Prsné protézy Pohlavie X";M7KX1UQ;-15,90;395,33;314567984772937
1222381042;2025-07-19;08:49:37;"Cancel net commission order M7531UQ/314567984750067 Dreame RAW6, Súprava príslušenstva, Robotický vysávač, Šedá...";M7531UQ;25,55;420,88;314567984750067
1222381043;2025-07-19;08:49:37;"Cancel goods receipt order M7531UQ/314567984750067 Dreame RAW6, Súprava príslušenstva, Robotický vysávač, Šedá,...";M7531UQ;-182,47;238,41;314567984750067
1224016586;2025-07-22;21:16:39;"Goods receipt order MT7PCUQ/314567985008454 Bezpečnostné madlo do vane Saath InnovaGoods";MT7PCUQ;18,69;257,10;314567985008454
1224016587;2025-07-22;21:16:39;"Net commission order MT7PCUQ/314567985008454 Bezpečnostné madlo do vane Saath InnovaGoods";MT7PCUQ;-2,62;254,48;314567985008454
1224537042;2025-07-23;22:51:37;"Cancel net commission order MT7PCUQ/314567985008454 Bezpečnostné madlo do vane Saath InnovaGoods";MT7PCUQ;2,62;257,10;314567985008454
1224537043;2025-07-23;22:51:37;"Cancel goods receipt order MT7PCUQ/314567985008454 Bezpečnostné madlo do vane Saath InnovaGoods";MT7PCUQ;-18,69;238,41;314567985008454
1225091522;2025-07-25;09:52:28;"Release order M38USCQ/314567983663570 Slnečné okuliare Dunlop Slnečné okuliare Sun Uni";M38USCQ;-14,80;223,61;314567983663570
1229353959;2025-08-03;20:52:24;"Release order MCY5STQ/314567984462393 Stôl InnovaGoods, počítačový stôl, pracovný stôl, výškovo nastaviteľný he...";MCY5STQ;-73,96;149,65;314567984462393
1231138447;2025-08-07;09:51:49;"Release order MZ8DRTQ/314567984574294 Hasbro Gaming Pictureka! - Kreslená hra - Stolová hra pre deti - Zábavná ...";MZ8DRTQ;-23,70;125,95;314567984574294
1231695783;2025-08-08;13:22:49;"Release order M7KX1UQ/314567984772937 Prsné protézy Pohlavie X";M7KX1UQ;-106,41;19,54;314567984772937
1234219888;2025-08-14;10:52:27;"Goods receipt order MP8DD6Q/314567986425934 Adaptér batérie 3xAA interný";MP8DD6Q;29,57;49,11;314567986425934
1234219889;2025-08-14;10:52:27;"Net commission order MP8DD6Q/314567986425934 Adaptér batérie 3xAA interný";MP8DD6Q;-4,14;44,97;314567986425934
1235625648;2025-08-18;07:23:43;"Goods receipt order MD76C6Q/314567986637216 Vileda Looper Náhrada 2 Ks 169837";MD76C6Q;29,52;74,49;314567986637216
1235625649;2025-08-18;07:23:43;"Net commission order MD76C6Q/314567986637216 Vileda Looper Náhrada 2 Ks 169837";MD76C6Q;-4,13;70,36;314567986637216
1236096437;2025-08-19;06:43:44;"Goods receipt order MKQFU6Q/314567986696972 Medisana akupresúrna masážna podložka MC 825 béžová";MKQFU6Q;198,97;269,33;314567986696972
1236096438;2025-08-19;06:43:44;"Net commission order MKQFU6Q/314567986696972 Medisana akupresúrna masážna podložka MC 825 béžová";MKQFU6Q;-25,87;243,46;314567986696972
1236461697;2025-08-19;19:51:02;"Cancel net commission order MKQFU6Q/314567986696972 Medisana akupresúrna masážna podložka MC 825 béžová";MKQFU6Q;25,87;269,33;314567986696972
1236461698;2025-08-19;19:51:02;"Cancel goods receipt order MKQFU6Q/314567986696972 Medisana akupresúrna masážna podložka MC 825 béžová";MKQFU6Q;-198,97;70,36;314567986696972
1236730787;2025-08-20;12:21:53;"Goods receipt order MU7976Q/314567986775403 Batoh Minions Minionstatic Blau (26 x 34 x 11 cm)";MU7976Q;24,81;95,17;314567986775403
1236730788;2025-08-20;12:21:53;"Net commission order MU7976Q/314567986775403 Batoh Minions Minionstatic Blau (26 x 34 x 11 cm)";MU7976Q;-3,47;91,70;314567986775403
1236898619;2025-08-20;16:45:51;"Goods receipt order MHFR76Q/314567986793547 Talchistine-Creme 50 ml";MHFR76Q;21,37;113,07;314567986793547
1236898620;2025-08-20;16:45:51;"Net commission order MHFR76Q/314567986793547 Talchistine-Creme 50 ml";MHFR76Q;-2,78;110,29;314567986793547
1237326724;2025-08-21;14:52:06;"Goods receipt order MU38L6Q/314567986849988 Goula 53170, 3 rok / roky, Drevo, Viacfarebný";MU38L6Q;25,64;135,93;314567986849988
1237326725;2025-08-21;14:52:06;"Net commission order MU38L6Q/314567986849988 Goula 53170, 3 rok / roky, Drevo, Viacfarebný";MU38L6Q;-3,33;132,60;314567986849988
1237654443;2025-08-22;10:39:22;"Goods receipt order MQCTS6Q/314567986896940 Madlo markízy Micel TLD06 White 200 cm vysoké";MQCTS6Q;47,69;180,29;314567986896940
1237654444;2025-08-22;10:39:22;"Net commission order MQCTS6Q/314567986896940 Madlo markízy Micel TLD06 White 200 cm vysoké";MQCTS6Q;-6,68;173,61;314567986896940
1237672076;2025-08-22;11:07:28;"Goods receipt order MX8US6Q/314567986898519 Bábika Dora The Explorer 30 cm";MX8US6Q;59,97;233,58;314567986898519
1237672077;2025-08-22;11:07:28;"Net commission order MX8US6Q/314567986898519 Bábika Dora The Explorer 30 cm";MX8US6Q;-7,80;225,78;314567986898519
1237771833;2025-08-22;13:58:08;"Goods receipt order MWAAS6Q/314567986908229 Lisciani 100958 - Barbie trblietavé tetovanie Moje trblietavé tetov...";MWAAS6Q;22,58;248,36;314567986908229
